Metropolitan_Statistical_Area,Detected_cumulative_newCases,Inferred_cumulative_newCases,Vaccinations_completed,Vaccinations_countdown,Progress_to_Herd_Immunity (% of population)
"Albany-Schenectady-Troy, NY MSA",66276,5973633,518342,236226,68.8479905860067
"Knoxville, TN MSA",98145,184141,335152,354775,48.8721854857391
"McAllen-Edinburg-Mission, TX MSA",90703,169359,422043,485397,43.6169197536775
"Baton Rouge, LA MSA",83110,163727,296011,580521,29.5393132715644
"New Haven-Milford, CT MSA",92314,172806,458021,332847,57.3378921370534
"Oxnard-Thousand Oaks-Ventura, CA MSA",81727,157244,443685,139695,77.6701395247947
"El Paso, TX MSA",137047,248069,440550,108143,83.1519882995513
"Allentown-Bethlehem-Easton, PA-NJ MSA",92123,172688,413051,250550,63.2878190203623
"Columbia, SC MSA",94350,310094,314061,324537,49.9124826645144
"North Port-Sarasota-Bradenton, FL MSA",71855,128679,405439,151578,74.3522737810473
"Dayton-Kettering, OH MSA",78750,147795,332421,469810,38.5007024571308
"Charleston-North Charleston, SC MSA",80218,1190495,318170,339352,48.0461344685408
"Greensboro-High Point, NC MSA",72017,2609912,319954,480333,36.4114351621459
"Cape Coral-Fort Myers, FL MSA",72247,188272,339264,229073,60.7174782503318
"Stockton, CA MSA",74808,259968,284937,359785,43.1431798697041
"Boise City, ID MSA",84365,261603,299824,315934,48.6409648795417
"Colorado Springs, CO MSA",74900,493824,269052,363858,41.3108741758784
"Little Rock-North Little Rock-Conway, AR MSA",76527,141957,262848,334184,43.5635753773236
"Lakeland-Winter Haven, FL MSA",71561,141047,259531,283287,48.1950614645148
"Akron, OH MSA",61721,5314407,329188,261767,55.4552483249554
"Des Moines-West Des Moines, IA MSA",82518,3296704,336685,375115,44.8342749350632
"Springfield, MA MSA",64176,2168999,343011,264117,56.115376167829
"Ogden-Clearfield, UT MSA",76977,140468,243240,255506,49.9006469119372
"Poughkeepsie-Newburgh-Middletown, NY MSA",77881,143308,319238,353093,45.35340164795
"Winston-Salem, NC MSA",66497,1592510,272263,225131,55.6834444726134
"Deltona-Daytona Beach-Ormond Beach, FL MSA",52248,169765,283713,193800,60.1799196131074
"Madison, WI MSA",58465,11350553,357287,88654,81.5447999535295
"Syracuse, NY MSA",51208,2608050,360490,247277,58.4191957440475
"Provo-Orem, UT MSA",99674,189460,201953,282651,43.379128180781
"Durham-Chapel Hill, NC MSA",48711,208659,336704,204381,62.1681256638614
"Toledo, OH MSA",61007,5395987,284468,288141,48.5948186263025
"Wichita, KS MSA",71431,153776,216646,301697,41.2827750737338
"Augusta-Richmond County, GA-SC MSA",69021,140892,191542,386384,29.8517698258222
"Palm Bay-Melbourne-Titusville, FL MSA",42844,150758,267898,269797,48.3558408191149
"Jackson, MS MSA",51039,2555199,212362,309075,38.7297047524262
"Harrisburg-Carlisle, PA MSA",50575,93597,257331,144863,65.3202126305819
"Spokane-Spokane Valley, WA MSA",50510,16514995,216654,180575,55.5619175294958
"Chattanooga, TN-GA MSA",66497,185459,191655,265691,41.5685733062983
"Scranton–Wilkes-Barre, PA MSA",52626,1206316,271962,168161,62.4373592933587
"Modesto, CA MSA",63586,115500,199405,176056,55.1743397433031
"Lansing-East Lansing, MI MSA",42691,78472,250498,174176,59.2696372980307
"Lancaster, PA MSA",55380,98946,247534,215384,53.2544503115302
"Portland-South Portland, ME MSA",32205,754549,342251,201727,61.664619137676
"Youngstown-Warren-Boardman, OH-PA MSA",48671,91274,218281,222044,49.0941558771997
"Fayetteville-Springdale-Rogers, AR MSA",62744,2438225,177523,328175,32.1629393086921
"Fayetteville, NC MSA",47094,84665,133624,298475,28.4512260070896
"Lexington-Fayette, KY MSA",53719,97366,260097,73970,79.8156081972651
"Pensacola-Ferry Pass-Brent, FL MSA",51566,319767,171106,219353,43.6664404549873
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA",48937,220467,212486,190832,52.7198706938315
"Santa Rosa-Petaluma, CA MSA",30974,79485,287897,22539,93.2941955333388
"Port St. Lucie, FL MSA",53308,288947,203900,256484,42.3536590063431
"Lafayette, LA MSA",49940,104606,141775,277731,31.5500864020777
"Reno, NV MSA",46327,92434,221031,106992,69.0890404405969
"Huntsville, AL MSA",45924,122342,164857,238706,39.3339972493696
"Springfield, MO MSA",50283,89884,145338,229078,38.0684821450687
"Visalia, CA MSA",49823,95158,154612,158388,51.1434554501701
"Asheville, NC MSA",34486,2192868,218172,238639,45.4091060687011
"Killeen-Temple, TX MSA",34527,93972,114152,265268,27.0452939243672
"York-Hanover, PA MSA",46976,85815,188027,134709,59.718900779727
"Vallejo, CA MSA",33802,3072400,202173,267922,39.6436659055129
"Santa Maria-Santa Barbara, CA MSA",34631,921049,224513,201062,51.1830304001287
"Salinas, CA MSA",43858,89757,209516,195011,50.580471577267
"Salem, OR MSA",27517,49500,192432,140705,57.6384032321319
"Mobile, AL MSA",42180,76389,117384,203274,36.0350244541641
"Corpus Christi, TX MSA",45801,96490,173705,278688,34.4774048784168
"Brownsville-Harlingen, TX MSA",42019,77505,215086,85680,73.1111303939462
"Reading, PA MSA",48435,98561,174910,119153,61.5001737558634
"Gulfport-Biloxi, MS MSA",24252,56512,72517,361940,9.43024066009749
"Manchester-Nashua, NH MSA",36377,1447233,203093,101956,67.6973242211889
"Salisbury, MD-DE MSA",40237,1518753,193714,230002,42.989177115382
"Fort Wayne, IN MSA",45872,1148016,160681,236009,37.9552546750076
"Flint, MI MSA",41738,76241,155669,253732,34.5481806792957
"Peoria, IL MSA",47385,88195,158255,150716,52.1167644719819
"Canton-Massillon, OH MSA",35347,2103467,160234,110155,60.6521874816846
"Anchorage, AK MSA",42634,32169573,155580,188255,44.243516359276
"Shreveport-Bossier City, LA MSA",44490,84260,117999,221091,32.896443499535
"Savannah, GA MSA",32188,58697,143944,249877,32.8283310435412
"Beaumont-Port Arthur, TX MSA",35201,76226,108263,312501,19.8492080777614
"Tallahassee, FL MSA",43079,78755,151975,107698,60.7274720135315
"Naples-Marco Island, FL MSA",36153,908431,197524,107441,65.5324844983153
"Eugene-Springfield, OR MSA",13944,39971,199338,159825,53.8274331024078
"Davenport-Moline-Rock Island, IA-IL MSA",42140,86281,149339,213038,38.7924669581551
"Montgomery, AL MSA",44070,398371,100772,250531,24.9585758027427
"Hickory-Lenoir-Morganton, NC MSA",43891,98555,133990,220093,35.0914405074616
"Ann Arbor, MI MSA",27128,52627,198701,88878,69.6632202132799
"Trenton-Princeton, NJ MSA",34157,71257,195245,134072,58.8899541197355
"Ocala, FL MSA",32026,72710,144776,189197,41.3126951834824
"Fort Collins, CO MSA",27599,2060063,149816,167230,45.6802979333259
"Huntington-Ashland, WV-KY-OH MSA",34308,61527,124100,145156,46.1807365867115
"Lincoln, NE MSA",33533,2830291,170708,162641,49.3313065567207
"Rockford, IL MSA",40997,1899003,136840,151738,47.0013524389392
"Gainesville, FL MSA",27001,2723389,135531,140354,48.2532125480246
"Boulder, CO MSA",24042,3086163,155038,169467,45.3642013186601
"Greeley, CO MSA",33333,1359779,103359,228629,26.5900194394322
"South Bend-Mishawaka, IN-MI MSA",42540,164044,137869,118065,54.9939376260314
"Green Bay, WI MSA",43524,79554,130569,66364,69.8762038463951
"Lubbock, TX MSA",50854,95405,108751,139212,45.4183432065812
"Columbus, GA-AL MSA",30666,1140263,85375,156778,34.3423694877371
"Spartanburg, SC MSA",42008,120394,90976,134196,42.0534486801888
"Evansville, IN-KY MSA",44036,86981,149369,123996,54.9673319662196
"Roanoke, VA MSA",26257,47563,135923,122475,52.173693994522
"Clarksville, TN-KY MSA",30823,68684,99050,123829,44.9318175000801
"Kingsport-Bristol, TN-VA MSA",32098,171562,112911,107573,52.3654249266078
"Kennewick-Richland, WA MSA",30525,60686,103978,157692,37.9851414380825
"Wilmington, NC MSA",25083,48665,135174,124939,51.0675957130268
"Olympia-Lacey-Tumwater, WA MSA",10949,20124,134347,69485,65.8463643458535
"Utica-Rome, NY MSA",27845,57796,134914,78074,64.5775770521036
"Duluth, MN-WI MSA",26691,52439,145701,117128,54.6253081162493
"Hagerstown-Martinsburg, MD-WV MSA",28710,576090,103850,187995,31.735287364928
"Longview, TX MSA",19124,35511,59283,138656,28.0460587805988
"Crestview-Fort Walton Beach-Destin, FL MSA",27938,96214,101112,124831,44.3491082913852
"San Luis Obispo-Paso Robles, CA MSA",21448,41839,134662,132734,48.6145062514464
"Merced, CA MSA",32325,68063,79543,216981,21.1812431480499
"Laredo, TX MSA",46808,84900,148767,60965,73.5349837312962
"Waco, TX MSA",27716,91401,83523,207929,23.3112138898165
"Santa Cruz-Watsonville, CA MSA",16246,40165,159771,40780,80.3434514732433
"Cedar Rapids, IA MSA",26868,3838451,137078,101909,57.0978379834697
"Bremerton-Silverdale-Port Orchard, WA MSA",8761,16553,118911,77624,59.8886212949112
"Erie, PA MSA",21214,674866,120949,149486,41.9509322106132
"Sioux Falls, SD MSA",42476,81930,122829,44603,76.9755735769786
"Norwich-New London, CT MSA",22554,91476,141499,98433,58.377614268053
"Kalamazoo-Portage, MI MSA",30305,2735379,159259,109387,57.8980584965449
"Amarillo, TX MSA",35784,1762178,78758,129804,37.8705939018223
"College Station-Bryan, TX MSA",32627,63617,96339,181369,30.3953495699172
"Atlantic City-Hammonton, NJ MSA",31639,66936,130912,100525,56.5694312689467
"Lynchburg, VA MSA",15917,30825,67586,118772,34.6385352250496
"Charleston, WV MSA",22041,43414,113780,130271,44.572771541159
"Tuscaloosa, AL MSA",30826,57755,70509,95143,44.8200669504863
"Yakima, WA MSA",31673,56965,97526,97492,50.9643728583816
"Fort Smith, AR-OK MSA",34317,9171896,75345,135670,34.718825266885
"Fargo, ND-MN MSA",33042,1408052,123712,71923,64.746250241941
"Binghamton, NY MSA",22482,2384299,119748,59132,68.1038676721747
"Appleton, WI MSA",30418,2923124,93039,141127,36.9446162780614
"Prescott Valley-Prescott, AZ MSA",19527,36986,84823,109086,42.5166538613435
"Lafayette-West Lafayette, IN MSA",25925,3203400,96883,143537,36.8753778213675
"Tyler, TX MSA",20663,39019,72661,141051,30.8180755157708
"Topeka, KS MSA",22829,1941788,98434,123254,42.1959338910633
"Macon-Bibb County, GA MSA",22386,44200,73888,126430,34.7436136404728
"Bellingham, WA MSA",9863,21064,120057,68559,63.1500581275038
"Champaign-Urbana, IL MSA",24535,2720119,108689,96444,52.2258304084581
"Daphne-Fairhope-Foley, AL MSA",21921,59814,64315,102660,38.1137969547748
"Hilton Head Island-Bluffton-Beaufort, SC MSA",19540,47740,92431,69848,57.7620346119252
"Rochester, MN MSA",18941,40901,128764,50426,72.5737301727553
"Medford, OR MSA",11581,22070,90110,51071,64.4317115864165
"Burlington-South Burlington, VT MSA",9774,2868285,128958,88621,57.7926889412531
"Chico, CA MSA",12666,104802,81805,151037,30.6760255200971
"Charlottesville, VA MSA",10295,862122,61322,165519,21.4929403969448
"Las Cruces, NM MSA",25331,2299130,100138,129420,40.3469080395158
"Yuma, AZ MSA",37297,346040,88352,120143,40.4130276346902
"Athens-Clarke County, GA MSA",24069,46587,80810,126129,36.2478756031443
"Barnstable Town, MA MSA",13933,460859,0,203006,0
"Lake Havasu City-Kingman, AZ MSA",23561,1356616,66378,158914,24.2723032072554
"Lake Charles, LA MSA",23806,48720,54152,121996,28.6683630488039
"Columbia, MO MSA",27297,7686942,100355,116285,43.4993252529778
"Houma-Thibodaux, LA MSA",21021,39789,59843,96447,37.9189313164013
"Springfield, IL MSA",20368,5569449,97686,115685,42.9411840151927
"Elkhart-Goshen, IN MSA",29532,309433,64837,134155,29.3585353319033
"Florence, SC MSA",26594,47863,73511,93117,44.2241087041115
"Gainesville, GA MSA",27955,56034,66633,112365,35.8653665223471
"Johnson City, TN MSA",23670,70325,76358,135544,32.0013450546323
"St. Cloud, MN MSA",28396,1984553,76891,119802,36.4881268982854
"Monroe, LA MSA",21473,45266,52516,136078,23.8337824722643
"Jacksonville, NC MSA",17821,31892,40897,85406,32.6772346845586
"Bend, OR MSA",10055,22515,103649,70233,58.7240460393481
"Racine, WI MSA",25328,1137689,76704,58539,59.2234085572682
"Saginaw, MI MSA",22514,41048,79808,99229,42.7975336959743
"Punta Gorda, FL MSA",13360,150887,95352,41754,70.3713026509504
"Terre Haute, IN MSA",19229,3012223,62702,85675,41.7368187034911
"Warner Robins, GA MSA",18612,35354,60782,87059,40.3889071717984
"Midland, TX MSA",17792,33487,51295,111074,28.5734669155944
"Billings, MT MSA",19655,63190,67156,57683,55.56502979901
"El Centro, CA MSA",28908,238707,86202,101577,43.1623294945093
"Dover, DE MSA",18215,682692,67717,60515,54.0234484262004
"Greenville, NC MSA",20472,60333,70119,101296,38.5659665809521
"Redding, CA MSA",12615,36827,55416,62619,47.2393631614112
"Joplin, MO MSA",15680,31616,0,167507,0
"Bowling Green, KY MSA",20817,39872,57722,53484,54.8384473429192
"Jackson, TN MSA",13767,25388,38948,99243,25.510681145227
"Kingston, NY MSA",13921,652436,102617,30695,77.9224559476702
"St. George, UT MSA",21514,58792,48536,57353,49.2720621742885
"Yuba City, CA MSA",16197,30120,59452,76529,43.2794932142227
"Panama City, FL MSA",19892,36867,56136,90136,37.2051380348979
"Muskegon, MI MSA",18406,1463492,73326,105522,37.6579818165342
"Iowa City, IA MSA",17198,2043200,95610,78499,53.2126159091891
"Abilene, TX MSA",19824,1223124,52176,131257,23.0601142761905
"Oshkosh-Neenah, WI MSA",21491,683753,66968,110826,33.9435894507844
"Bloomington, IL MSA",18558,2957174,78879,101059,40.6126598838197
"East Stroudsburg, PA MSA",14814,27179,68815,57097,55.2223871515905
"Burlington, NC MSA",19005,34284,72790,104118,37.6867963893538
"Eau Claire, WI MSA",19691,746713,71760,106603,36.5555594853446
"Bloomington, IN MSA",17245,46990,89298,69812,55.1964622501327
"Hattiesburg, MS MSA",18175,893196,50615,58138,48.5825028009084
"Waterloo-Cedar Falls, IA MSA",20480,37165,77666,28040,76.1753229210686
"Pueblo, CO MSA",19537,2484531,48669,81382,37.1569115351255
"Blacksburg-Christiansburg, VA MSA",14346,51999,65797,79082,44.0244266181639
"Kahului-Wailuku-Lahaina, HI MSA",4858,3342247,80723,75103,49.7253055738347
"Odessa, TX MSA",17512,34228,45022,133113,19.3379774879305
"Coeur d'Alene, ID MSA",19030,40094,52081,82436,37.9603393738479
"Auburn-Opelika, AL MSA",16301,32220,52517,96029,32.6902609476318
"Janesville-Beloit, WI MSA",18377,1621354,68792,102685,36.4672018160914
"Wausau-Weston, WI MSA",16422,33519,51769,55414,49.9508528816159
"State College, PA MSA",16910,34091,75683,71793,50.3521343619175
"Sebastian-Vero Beach, FL MSA",12870,27046,77964,66058,53.1337205531304
"Jackson, MI MSA",21037,855633,65341,73143,46.7440426394612
"Madera, CA MSA",16660,33838,55137,39630,61.0128015118467
"Chambersburg-Waynesboro, PA MSA",15452,1196217,49522,105757,27.6701193862971
"Grand Junction, CO MSA",16907,31221,43077,70299,38.1319404983758
"Elizabethtown-Fort Knox, KY MSA",13416,4282113,60834,101107,33.5401828450615
"Niles, MI MSA",15582,1033522,62415,99954,34.4776509617048
"Hanford-Corcoran, CA MSA",23214,898923,39261,124272,17.9613845595217
"Decatur, AL MSA",17785,32686,44876,117192,22.245515781119
"Bangor, ME MSA",6325,5257261,79952,76253,48.7863110561456
"Alexandria, LA MSA",14966,33784,43747,112365,22.9665135178052
"Idaho Falls, ID MSA",18066,42921,50361,109564,26.6767415882846
"Wichita Falls, TX MSA",17050,34679,48466,71244,40.1307211714928
"Jefferson City, MO MSA",17894,36056,49174,71563,40.4544808485384
"Monroe, MI MSA",15408,27910,50793,73385,39.8684904674392
"Santa Fe, NM MSA",10810,21152,86366,13896,87.0818615773973
"Homosassa Springs, FL MSA",11446,37273,63289,33887,66.5118198884602
"Vineland-Bridgeton, NJ MSA",17209,322923,57949,91217,35.6837832152522
"Dothan, AL MSA",15333,46959,40489,111328,21.5479578232853
"Texarkana, TX-AR MSA",11889,45521,24648,94516,16.6909236218242
"Florence-Muscle Shoals, AL MSA",16039,865054,45324,111613,23.6147601829742
"Valdosta, GA MSA",15700,32684,37236,81484,29.6397831465267
"Albany, GA MSA",13356,28916,49524,82863,34.8608351108845
"Rocky Mount, NC MSA",17376,36429,55503,65211,45.7799568863706
"Dalton, GA MSA",22132,240109,42919,70115,38.7296699424881
"Sioux City, IA-NE-SD MSA",27347,49888,67195,20087,81.093085417806
"Flagstaff, AZ MSA",17949,175104,68322,73213,46.3349056978337
"Morristown, TN MSA",17679,32474,43598,59998,43.2087350844803
"Logan, UT-ID MSA",17723,1336219,45038,48210,50.9226561967217
"Rapid City, SD MSA",16716,2181182,43310,95836,27.2232005920179
"Lebanon, PA MSA",16193,1270827,54820,55938,50.0480553806779
"Winchester, VA-WV MSA",10018,782219,42233,107887,22.6375804751151
"Sumter, SC MSA",10576,20172,32494,90062,22.4843280143023
"Morgantown, WV MSA",12348,25098,59775,70928,43.7143475829148
"Wheeling, WV-OH MSA",14003,1388914,52662,50262,51.9297127656921
"Napa, CA MSA",10033,68097,82557,0,100
"La Crosse-Onalaska, WI-MN MSA",15293,32432,68230,69252,47.5011853961082
"Sherman-Denison, TX MSA",11374,1174221,40941,101088,23.6680232821522
"Carbondale-Marion, IL MSA",14206,1745038,48572,44140,54.0358304183296
"Harrisonburg, VA MSA",6869,359351,33458,62527,32.6163540406459
"Hammond, LA MSA",13166,23791,36354,74619,30.7101426871214
"Battle Creek, MI MSA",14544,28244,50350,72507,38.9802001772361
"Springfield, OH MSA",14246,35571,53942,43354,56.7628457844197
"Jonesboro, AR MSA",16949,949972,35092,104127,19.7004816460648
"The Villages, FL MSA",9472,19646,87955,26205,77.4069696979355
"Manhattan, KS MSA",12267,24100,40380,54223,42.7958374951135
"Johnstown, PA MSA",14818,14972522,53776,42371,57.344329513784
"Albany-Lebanon, OR MSA",5653,1343872,51784,84424,33.9970302443836
"Mount Vernon-Anacortes, WA MSA",6022,11083,62948,47450,55.980586014302
"Bismarck, ND MSA",21528,39058,53268,82686,35.4239962969205
"Lawton, OK MSA",14956,922607,44397,88903,28.7494630710077
"Sierra Vista-Douglas, AZ MSA",12180,22044,53124,12257,83.5453034569249
"St. Joseph, MO-KS MSA",15024,1224488,25664,106147,12.8540076942223
"Glens Falls, NY MSA",6835,971844,70153,54134,54.7574914093511
"Pittsfield, MA MSA",6551,11775,54387,35332,60.6477692325241
"Cleveland, TN MSA",17413,31916,33027,67241,32.4157307900441
"New Bern, NC MSA",11486,23859,48590,31101,62.8950164487679
"Farmington, NM MSA",15691,394076,61307,66248,45.5591732314161
"Ames, IA MSA",13404,24739,61405,64041,46.6208697914071
"Goldsboro, NC MSA",11460,289526,37116,55996,39.3048765982994
"Staunton, VA MSA",5984,126018,33194,98138,19.3107835764486
"Lawrence, KS MSA",9379,21040,56504,47881,53.436384081221
"San Angelo, TX MSA",17061,30754,38853,59383,39.6486956702496
"Altoona, PA MSA",13518,7251454,44823,81305,31.4863069023167
"Mansfield, OH MSA",11612,629226,39246,44865,47.5336981848053
"Wenatchee, WA MSA",10876,1032836,58150,23949,72.4176816113645
"Missoula, MT MSA",9356,99168,61685,11317,85.7791979166991
"Owensboro, KY MSA",12811,30698,46290,59810,42.2137945124072
"Brunswick, GA MSA",10859,24464,39749,73610,31.6869312843686
"Weirton-Steubenville, WV-OH MSA",10774,42402,44658,76390,32.8797283695883
"Beckley, WV MSA",10630,2500377,46234,74703,34.3663705523772
"Sheboygan, WI MSA",14815,29952,48708,71346,37.1165941367987
"Muncie, IN MSA",10988,1506499,42433,77672,31.0271974630252
"Anniston-Oxford, AL MSA",14725,30955,30061,53604,36.5827107433414
"California-Lexington Park, MD MSA",6053,383176,51116,48107,50.0263600937106
"Williamsport, PA MSA",11953,4632832,44484,75527,32.9267981985201
"Twin Falls, ID MSA",12414,501389,34777,62125,33.9317120685772
"Longview, WA MSA",6606,12598,45522,70887,35.2326822551823
"Michigan City-La Porte, IN MSA",12442,424060,46675,20677,72.0818228073393
"Kankakee, IL MSA",14580,760704,37364,57118,38.5903461169374
"Watertown-Fort Drum, NY MSA",6160,12078,45826,36498,55.3115867355739
"Lewiston-Auburn, ME MSA",8390,779318,53732,53265,48.1285063231547
"Sebring-Avon Park, FL MSA",8745,21629,37882,67698,32.1377954722167
"Decatur, IL MSA",11002,20687,37947,42797,47.1978099167537
"Fond du Lac, WI MSA",13879,333002,35465,72994,28.1679449422418
"Bay City, MI MSA",11258,841316,46665,23875,68.2200131212381
"Gettysburg, PA MSA",9662,17597,38521,23388,64.6053202374443
"Lima, OH MSA",11922,21547,33198,61741,32.2321491058377
"Gadsden, AL MSA",14192,26068,28164,51315,35.610457176061
"Ithaca, NY MSA",4356,14711,65712,24669,72.4731641013333
"Mankato, MN MSA",10942,675233,49667,56843,43.7509685232201
"Grand Forks, ND-MN MSA",14607,27237,46255,18010,75.2375013733439
"Victoria, TX MSA",12202,3211858,40801,60745,36.957402351262
"Cheyenne, WY MSA",10251,21830,34179,56416,35.329279372457
"Hot Springs, AR MSA",10478,19256,29389,64414,27.755258375356
"Rome, GA MSA",12147,984725,30450,37947,46.2906611097788
"Dubuque, IA MSA",13519,1223273,49781,50557,47.2591716290709
"Cumberland, MD-WV MSA",10026,19064,36174,24885,61.6691280070337
"Fairbanks, AK MSA",8000,4906333,34548,60015,33.0377763404634
"Cape Girardeau, MO-IL MSA",11230,27297,29539,73773,23.2117440346642
"Pocatello, ID MSA",9551,43919,33969,62941,31.1157659224397
"Corvallis, OR MSA",3275,246351,56994,32097,62.9074122947549
"Ocean City, NJ MSA",9274,191881,51697,17519,76.0385152421661
"Parkersburg-Vienna, WV MSA",14680,842049,60087,0,100
"Pine Bluff, AR MSA",13381,25053,21749,26850,50.6430622206605
"Grants Pass, OR MSA",3638,10206,31327,46813,37.0513280204844
"Columbus, IN MSA",8196,491417,37812,21449,65.3320980478354
"Elmira, NY MSA",7779,2744898,34682,53363,35.5730491691068
"Bloomsburg-Berwick, PA MSA",7906,16214,40414,19521,68.837124551718
"Midland, MI MSA",7575,14869,39536,47169,42.6102743086365
"Kokomo, IN MSA",10365,573810,28754,49832,33.8441865368436
"Great Falls, MT MSA",9467,24199,28348,54738,30.0758025724759
"Hinesville, GA MSA",5072,9630,14748,63495,12.5287002080593
"Casper, WY MSA",8220,16571,24703,48635,30.6902736891911
