Metropolitan_Statistical_Area,Detected_cumulative_newCases,Inferred_cumulative_newCases,Vaccinations_completed,Vaccinations_countdown,Progress_to_Herd_Immunity
"Kansas City, MO-KS MSA",161031,287556,484718,1254149,29.4460249596086
"Columbus, OH MSA",208239,371856,1007465,907602,52.7826994582973
"Indianapolis-Carmel-Anderson, IN MSA",223050,398304,954761,634789,62.5965298090125
"Cleveland-Elyria, OH MSA",185292,330879,1018284,585200,64.9128616615859
"San Jose-Sunnyvale-Santa Clara, CA MSA",126330,225590,1306759,437761,74.4497935562704
"Nashville-Davidson–Murfreesboro–Franklin, TN MSA",262151,468127,790628,643299,59.7904106626889
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",136829,244338,710849,584003,56.6016146153049
"Providence-Warwick, RI-MA MSA",207371,370306,879933,406021,71.0523449627098
"Milwaukee-Waukesha, WI MSA",193180,344965,661323,685841,51.1501813934811
"Jacksonville, FL MSA",155534,277740,629472,680822,49.3957242690406
"Oklahoma City, OK MSA",155418,277533,570357,696495,45.8462098566486
"Raleigh-Cary, NC MSA",119477,213352,724763,165588,83.1845189609363
"Memphis, TN-MS-AR MSA",127566,227797,450173,678975,41.2983500100868
"Richmond, VA MSA",94360,168500,602167,319153,66.7272454083361
"New Orleans-Metairie, LA MSA",122964,219579,560229,575383,49.6423761575201
"Louisville/Jefferson County, KY-IN MSA",133991,239270,588711,266907,72.0316021172891
"Salt Lake City, UT MSA",160746,287047,511161,246953,72.8752739314328
"Hartford-East Hartford-Middletown, CT MSA",106932,190950,684096,458180,59.096828498053
"Buffalo-Niagara Falls, NY MSA",109680,195858,610083,497156,54.0052618054054
"Birmingham-Hoover, AL MSA",131008,233943,367244,628174,38.0956691562428
"Grand Rapids-Kentwood, MI MSA",123897,221245,499696,480805,51.6383966542139
"Rochester, NY MSA",91135,162742,592237,336875,63.8844955985672
"Tucson, AZ MSA",117420,209679,430622,369638,56.8958859732559
"Fresno, CA MSA",103020,183965,400593,270977,63.4854742167443
"Tulsa, OK MSA",112511,200913,380207,346112,56.2342917795327
"Urban Honolulu, HI MSA",27715,49492,0,893045,0.571262272933948
"Omaha-Council Bluffs, NE-IA MSA",116689,208374,449941,501408,46.5449050996439
"Worcester, MA-CT MSA",88322,157718,503194,235905,69.523505092143
"Bridgeport-Stamford-Norwalk, CT MSA",100408,179300,538391,246957,69.857227110144
"Greenville-Anderson, SC MSA",125535,224170,327788,502747,41.4664708199823
"Albuquerque, NM MSA",79545,142045,483459,76601,87.8770598097581
"Bakersfield, CA MSA",110847,197942,302909,448290,43.1964093643508
"Albany-Schenectady-Troy, NY MSA",66276,118350,526121,234844,69.030240114044
"Knoxville, TN MSA",98145,175259,361966,275529,60.2925921913895
"McAllen-Edinburg-Mission, TX MSA",90703,161970,433584,453866,47.2795194468087
"Baton Rouge, LA MSA",83110,148411,307399,526285,36.1222031332636
"New Haven-Milford, CT MSA",92314,164847,469406,301386,61.3703532242081
"Oxnard-Thousand Oaks-Ventura, CA MSA",81727,145942,453072,105604,83.1194918527966
"El Paso, TX MSA",137047,244727,456370,0,100
"Allentown-Bethlehem-Easton, PA-NJ MSA",92123,164506,422725,206229,69.7820140840163
"Columbia, SC MSA",94350,168483,328499,258326,60.131177637044
"North Port-Sarasota-Bradenton, FL MSA",71855,128313,416799,119824,79.7252032190702
"Dayton-Kettering, OH MSA",78750,140625,339348,432657,43.3641225665585
"Charleston-North Charleston, SC MSA",80218,143247,329012,291781,55.3291248065882
"Greensboro-High Point, NC MSA",72017,128602,326788,447347,40.7782648401848
"Cape Coral-Fort Myers, FL MSA",72247,129013,348978,191769,67.1145446499059
"Stockton, CA MSA",74808,133586,298256,310008,51.009438706581
"Boise City, ID MSA",84365,150652,308874,265445,56.8485852185898
"Colorado Springs, CO MSA",74900,133750,283868,310486,49.9196062182824
"Little Rock-North Little Rock-Conway, AR MSA",76527,136656,268514,287364,51.4704572173689
"Lakeland-Winter Haven, FL MSA",71561,127788,270644,234077,57.1941366968101
"Akron, OH MSA",61721,110217,337211,236894,59.6878735543135
"Des Moines-West Des Moines, IA MSA",82518,147354,345478,342108,49.6883999026554
"Springfield, MA MSA",64176,114600,353024,238861,60.3118120636831
"Ogden-Clearfield, UT MSA",76977,137459,250883,203406,60.1163612039228
"Poughkeepsie-Newburgh-Middletown, NY MSA",77881,139074,325653,321946,50.1738812351163
"Winston-Salem, NC MSA",66497,118745,278016,188856,62.8241005873019
"Deltona-Daytona Beach-Ormond Beach, FL MSA",52248,93300,292763,167385,65.6074088980392
"Madison, WI MSA",58465,104402,357287,77219,83.9252363978117
"Syracuse, NY MSA",51208,91443,367457,241155,59.4486391765339
"Provo-Orem, UT MSA",99674,177990,207979,204069,59.1207365575349
"Durham-Chapel Hill, NC MSA",48711,86984,342800,194520,63.9934426592213
"Toledo, OH MSA",61007,108942,289502,262479,53.1729930770465
"Wichita, KS MSA",71431,127556,221858,255188,50.3345038416556
"Augusta-Richmond County, GA-SC MSA",69021,123252,197967,339267,38.4058873905163
"Palm Bay-Melbourne-Titusville, FL MSA",42844,76508,275449,251411,51.8752628686549
"Jackson, MS MSA",51039,91142,217561,278268,44.8368113954481
"Harrisburg-Carlisle, PA MSA",50575,90313,263197,121475,70.9192328565606
"Spokane-Spokane Valley, WA MSA",50510,90197,225289,148336,63.4956810115203
"Chattanooga, TN-GA MSA",66497,118745,202977,214831,52.7538312248641
"Scranton–Wilkes-Barre, PA MSA",52626,93975,278318,146731,67.2242444233432
"Modesto, CA MSA",63586,113547,207564,129940,66.9159455300859
"Lansing-East Lansing, MI MSA",42691,76234,253756,159948,62.5967983335558
"Lancaster, PA MSA",55380,98893,252958,190111,58.7395386991388
"Portland-South Portland, ME MSA",32205,57509,349514,210687,59.9618970800118
"Youngstown-Warren-Boardman, OH-PA MSA",48671,86913,224496,195896,55.0888506769826
"Fayetteville-Springdale-Rogers, AR MSA",62744,112043,184323,285960,40.8892027872739
"Fayetteville, NC MSA",47094,84097,137811,260466,37.562532986557
"Lexington-Fayette, KY MSA",53719,95927,267144,44840,87.7643892330048
"Pensacola-Ferry Pass-Brent, FL MSA",51566,92083,176124,185271,52.4192743638608
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA",48937,87388,217961,165686,58.9499900214753
"Santa Rosa-Petaluma, CA MSA",30974,55311,293642,21908,93.4819306865605
"Port St. Lucie, FL MSA",53308,95193,210937,227522,48.8630448856115
"Lafayette, LA MSA",49940,89179,146095,241378,40.5096901518401
"Reno, NV MSA",46327,82727,226402,83957,75.7440609416703
"Huntsville, AL MSA",45924,82008,170620,208638,46.9756374708385
"Springfield, MO MSA",50283,89792,150254,193089,47.7981523712847
"Visalia, CA MSA",49823,88970,158373,124647,61.5512430960511
"Asheville, NC MSA",34486,61583,221544,228668,47.6900651884971
"Killeen-Temple, TX MSA",34527,61656,119008,234004,35.6436017894266
"York-Hanover, PA MSA",46976,83886,192600,108110,67.6726155141548
"Vallejo, CA MSA",33802,60361,207248,254580,42.6492951912328
"Santa Maria-Santa Barbara, CA MSA",34631,61842,228750,192835,53.1805098288528
"Salinas, CA MSA",43858,78318,214844,177826,54.935480248289
"Salem, OR MSA",27517,49138,199497,128042,61.4508114612035
"Mobile, AL MSA",42180,75322,121672,170658,46.2984208669025
"Corpus Christi, TX MSA",45801,81788,177789,256602,39.6700648991399
"Brownsville-Harlingen, TX MSA",42019,75034,220976,65689,79.3848861396817
"Reading, PA MSA",48435,86492,179722,88695,71.3415349280027
"Gulfport-Biloxi, MS MSA",24252,43308,74801,328280,17.8531231803526
"Manchester-Nashua, NH MSA",36377,64959,209160,86071,72.7301619624343
"Salisbury, MD-DE MSA",40237,71852,200348,213330,47.1216822202609
"Fort Wayne, IN MSA",45872,81915,165677,210016,44.7885918156782
"Flint, MI MSA",41738,74533,158248,232522,40.0194380996926
"Peoria, IL MSA",47385,84617,162183,121469,61.4086843045673
"Canton-Massillon, OH MSA",35347,63120,163966,91320,67.380125830216
"Anchorage, AK MSA",42634,76133,158892,164818,51.1849771814993
"Shreveport-Bossier City, LA MSA",44490,79447,121557,189491,42.487391957024
"Savannah, GA MSA",32188,57479,147898,230304,38.089924053241
"Beaumont-Port Arthur, TX MSA",35201,62859,111396,284731,26.9717052591483
"Tallahassee, FL MSA",43079,76927,155903,80283,70.7244668950431
"Naples-Marco Island, FL MSA",36153,64559,203623,92322,70.3827219948946
"Eugene-Springfield, OR MSA",13944,24900,205139,157495,54.5005573374861
"Davenport-Moline-Rock Island, IA-IL MSA",42140,75250,153224,190138,45.3718213768891
"Montgomery, AL MSA",44070,78697,103995,218018,34.6971783107174
"Hickory-Lenoir-Morganton, NC MSA",43891,78377,136413,195010,42.48877435157
"Ann Arbor, MI MSA",27128,48443,200904,85830,70.7035958381806
"Trenton-Princeton, NJ MSA",34157,60995,201984,122072,62.5694737104268
"Ocala, FL MSA",32026,57190,149666,171076,46.9336756989245
"Fort Collins, CO MSA",27599,49284,154163,153553,50.1228654461281
"Huntington-Ashland, WV-KY-OH MSA",34308,61265,127335,123445,54.230490148162
"Lincoln, NE MSA",33533,59881,173364,153679,52.1233013836012
"Rockford, IL MSA",40997,73209,140748,127409,55.4989212517155
"Gainesville, FL MSA",27001,48217,138491,127361,53.0435712792579
"Boulder, CO MSA",24042,42933,159372,161036,48.0823377032209
"Greeley, CO MSA",33333,59524,106923,205987,33.8600892024648
"South Bend-Mishawaka, IN-MI MSA",42540,75965,140979,91741,65.028576053443
"Green Bay, WI MSA",43524,77722,130569,38164,82.6766837983519
"Lubbock, TX MSA",50854,90811,110600,101242,60.3054614754525
"Columbus, GA-AL MSA",30666,54761,88047,133136,44.2434889086439
"Spartanburg, SC MSA",42008,75015,95996,99134,57.1934080111317
"Evansville, IN-KY MSA",44036,78636,152434,98979,64.0529658269981
"Roanoke, VA MSA",26257,46888,141834,107890,57.8691148811511
"Clarksville, TN-KY MSA",30823,55042,105367,99043,55.9544371727175
"Kingsport-Bristol, TN-VA MSA",32098,57318,118341,84676,62.5044827334502
"Kennewick-Richland, WA MSA",30525,54509,107357,137917,45.7619711318014
"Wilmington, NC MSA",25083,44792,137144,115945,54.5900990479105
"Olympia-Lacey-Tumwater, WA MSA",10949,19552,138391,67563,66.7910759775333
"Utica-Rome, NY MSA",27845,49724,137344,65831,70.1322652216747
"Duluth, MN-WI MSA",26691,47663,147263,110300,57.2704347826506
"Hagerstown-Martinsburg, MD-WV MSA",28710,51268,107096,170737,38.0020094088977
"Longview, TX MSA",19124,34150,60513,121260,37.0735134991303
"Crestview-Fort Walton Beach-Destin, FL MSA",27938,49890,104211,106982,52.306368636228
"San Luis Obispo-Paso Robles, CA MSA",21448,38300,138283,125219,51.5237984111069
"Merced, CA MSA",32325,57724,86078,190870,30.6661130682792
"Laredo, TX MSA",46808,83586,153139,18703,91.8809940248738
"Waco, TX MSA",27716,49493,85554,189204,30.2174055221197
"Santa Cruz-Watsonville, CA MSA",16246,29011,161935,42696,79.4199118220107
"Cedar Rapids, IA MSA",26868,47979,139565,92735,60.9599545221429
"Bremerton-Silverdale-Port Orchard, WA MSA",8761,15645,122142,75511,60.9804916340313
"Erie, PA MSA",21214,37883,122908,141896,44.8983147382175
"Sioux Falls, SD MSA",42476,75850,125033,9363,95.1667442862868
"Norwich-New London, CT MSA",22554,40275,144802,93016,60.668192260291
"Kalamazoo-Portage, MI MSA",30305,54117,161626,104806,59.6612387101656
"Amarillo, TX MSA",35784,63900,80278,103988,50.2271680276625
"College Station-Bryan, TX MSA",32627,58263,98232,163470,37.2645148520109
"Atlantic City-Hammonton, NJ MSA",31639,56499,134076,85610,63.0132704395377
"Lynchburg, VA MSA",15917,28424,69445,105273,42.0671750812198
"Charleston, WV MSA",22041,39359,118325,119255,49.2598189170338
"Tuscaloosa, AL MSA",30826,55047,72790,71100,58.7642470825976
"Yakima, WA MSA",31673,56559,100729,76240,61.6535078439565
"Fort Smith, AR-OK MSA",34317,61281,77816,110426,46.8656371999782
"Fargo, ND-MN MSA",33042,59004,125586,53548,73.7529331084001
"Binghamton, NY MSA",22482,40147,121471,51140,72.4147972798994
"Appleton, WI MSA",30418,54318,93039,126440,43.50675123965
"Prescott Valley-Prescott, AZ MSA",19527,34870,85906,98449,48.1218676640028
"Lafayette-West Lafayette, IN MSA",25925,46295,99297,131124,42.3343600705671
"Tyler, TX MSA",20663,36899,73874,127329,37.5483671675322
"Topeka, KS MSA",22829,40767,101563,111770,47.5817379639131
"Macon-Bibb County, GA MSA",22386,39975,75531,111756,42.3175455667538
"Bellingham, WA MSA",9863,17613,123094,68197,63.3446303785262
"Champaign-Urbana, IL MSA",24535,43813,111959,85336,57.7282512518786
"Daphne-Fairhope-Foley, AL MSA",21921,39145,67462,85334,48.5583747256844
"Hilton Head Island-Bluffton-Beaufort, SC MSA",19540,34893,96300,58177,64.8196353169449
"Rochester, MN MSA",18941,33824,130113,48223,73.7719230182997
"Medford, OR MSA",11581,20681,92432,46741,67.4473307994889
"Burlington-South Burlington, VT MSA",9774,17454,132096,89988,57.1416311308323
"Chico, CA MSA",12666,22618,83882,141847,34.8941133096474
"Charlottesville, VA MSA",10295,18384,63232,152715,27.5659857340815
"Las Cruces, NM MSA",25331,45234,114136,108642,49.9240363408212
"Yuma, AZ MSA",37297,66602,90898,94626,53.0686195030938
"Athens-Clarke County, GA MSA",24069,42981,82389,113045,42.8612063645748
"Barnstable Town, MA MSA",13933,24881,9346,171250,7.27529463990738
"Lake Havasu City-Kingman, AZ MSA",23561,42074,67517,144188,31.2897218297176
"Lake Charles, LA MSA",23806,42511,56317,103226,39.6432706324455
"Columbia, MO MSA",27297,48745,102414,105210,48.8804575815091
"Houma-Thibodaux, LA MSA",21021,37538,62431,80195,48.3800294142773
"Springfield, IL MSA",20368,36372,100124,108377,46.545677486403
"Elkhart-Goshen, IN MSA",29532,52736,66588,114203,39.8645806008673
"Florence, SC MSA",26594,47490,75357,75455,54.8034206672115
"Gainesville, GA MSA",27955,49920,68524,93023,46.9052106083593
"Johnson City, TN MSA",23670,42268,80962,120143,39.7275984101007
"St. Cloud, MN MSA",28396,50708,78916,102736,45.5355019534085
"Monroe, LA MSA",21473,38345,53886,120005,32.8302375518752
"Jacksonville, NC MSA",17821,31824,41926,70500,44.4271485055076
"Bend, OR MSA",10055,17956,106400,68914,59.499222712338
"Racine, WI MSA",25328,45229,76704,43353,69.8015413857983
"Saginaw, MI MSA",22514,40204,80882,88372,49.0562602442899
"Punta Gorda, FL MSA",13360,23858,97052,38753,72.5008164878163
"Terre Haute, IN MSA",19229,34338,63908,73553,49.9803703075329
"Warner Robins, GA MSA",18612,33236,62348,74737,48.8260347040363
"Midland, TX MSA",17792,31772,52223,98390,36.7299584945652
"Billings, MT MSA",19655,35099,68897,45038,65.3058580879603
"El Centro, CA MSA",28908,51622,94163,79942,55.2682491553212
"Dover, DE MSA",18215,32527,70386,48361,63.2575062272078
"Greenville, NC MSA",20472,36558,71384,90439,45.1505237286243
"Redding, CA MSA",12615,22527,57373,53633,54.81066073294
"Joplin, MO MSA",15680,28000,47126,102729,32.9756575400248
"Bowling Green, KY MSA",20817,37174,59412,38215,67.7314947500123
"Jackson, TN MSA",13767,24584,41260,85736,35.6486982322903
"Kingston, NY MSA",13921,24859,104095,29040,79.1128236103711
"St. George, UT MSA",21514,38418,49613,40816,63.8988106935253
"Yuba City, CA MSA",16197,28924,61617,65488,51.4626801815392
"Panama City, FL MSA",19892,35522,57526,76782,46.5084417834775
"Muskegon, MI MSA",18406,32868,74867,97266,42.535596931133
"Iowa City, IA MSA",17198,30711,97156,75569,54.9589698167048
"Abilene, TX MSA",19824,35400,53182,118545,30.5116012621879
"Oshkosh-Neenah, WI MSA",21491,38377,66968,100918,39.8491252972611
"Bloomington, IL MSA",18558,33140,81520,93194,45.2345285943132
"East Stroudsburg, PA MSA",14814,26454,70644,49169,61.4398226501665
"Burlington, NC MSA",19005,33938,74334,95768,42.6841575579211
"Eau Claire, WI MSA",19691,35163,71760,99118,41.0102337182667
"Bloomington, IN MSA",17245,30795,90703,65195,58.1595335529337
"Hattiesburg, MS MSA",18175,32456,51781,45174,60.0479201473775
"Waterloo-Cedar Falls, IA MSA",20480,36572,79135,15154,87.1241385002095
"Pueblo, CO MSA",19537,34888,50326,66777,48.4348760362374
"Blacksburg-Christiansburg, VA MSA",14346,25618,68132,70711,49.9495616018435
"Kahului-Wailuku-Lahaina, HI MSA",4858,8675,825314,0,100
"Odessa, TX MSA",17512,31272,46090,120392,27.0464776973469
"Coeur d'Alene, ID MSA",19030,33983,53021,69745,47.5113284199746
"Auburn-Opelika, AL MSA",16301,29109,53464,85540,40.0423301446482
"Janesville-Beloit, WI MSA",18377,32817,68792,95711,40.7821235138523
"Wausau-Weston, WI MSA",16422,29325,51769,45535,58.8734270394554
"State College, PA MSA",16910,30197,76847,65154,54.9432808521217
"Sebastian-Vero Beach, FL MSA",12870,22983,79391,62315,55.7892730065749
"Jackson, MI MSA",21037,37567,66250,61328,55.3466312154667
"Madera, CA MSA",16660,29750,56531,28454,72.007525970681
"Chambersburg-Waynesboro, PA MSA",15452,27593,50748,95610,34.6099087013046
"Grand Junction, CO MSA",16907,30192,44124,57892,49.0509722660631
"Elizabethtown-Fort Knox, KY MSA",13416,23958,63218,93372,38.6245655850642
"Niles, MI MSA",15582,27825,63614,92773,39.1849762157616
"Hanford-Corcoran, CA MSA",23214,41454,41220,107086,29.3067853333087
"Decatur, AL MSA",17785,31759,45748,105525,29.9863305754879
"Bangor, ME MSA",6325,11295,81587,75452,49.32428549445
"Alexandria, LA MSA",14966,26725,45133,101346,30.5207518264183
"Idaho Falls, ID MSA",18066,32261,51911,98312,34.206891123247
"Wichita Falls, TX MSA",17050,30447,49168,60163,49.4425436224878
"Jefferson City, MO MSA",17894,31954,50268,59522,50.4734514912273
"Monroe, MI MSA",15408,27515,51702,63830,47.6978367041854
"Santa Fe, NM MSA",10810,19304,91601,8170,92.4049229337461
"Homosassa Springs, FL MSA",11446,20440,65138,28317,72.0162659362448
"Vineland-Bridgeton, NJ MSA",17209,30731,59861,81489,42.5429011086495
"Dothan, AL MSA",15333,27381,41557,99961,29.5582010992151
"Texarkana, TX-AR MSA",11889,21231,25184,82778,27.0371289048136
"Florence-Muscle Shoals, AL MSA",16039,28642,46473,101006,30.8739346406018
"Valdosta, GA MSA",15700,28036,38032,69591,39.9092109978638
"Albany, GA MSA",13356,23850,50919,74174,41.6913167941632
"Rocky Mount, NC MSA",17376,31029,57118,54308,54.8453159526002
"Dalton, GA MSA",22132,39522,44102,52957,53.7232707857711
"Sioux City, IA-NE-SD MSA",27347,48834,68285,0,100
"Flagstaff, AZ MSA",17949,32052,69180,66067,51.5729203111302
"Morristown, TN MSA",17679,31570,46993,44635,57.7506231957028
"Logan, UT-ID MSA",17723,31649,46221,35094,64.2746255251556
"Rapid City, SD MSA",16716,29850,44472,84611,35.7473415552739
"Lebanon, PA MSA",16193,28917,56187,46037,58.8895263606183
"Winchester, VA-WV MSA",10018,17890,43887,99011,29.0022846165119
"Sumter, SC MSA",10576,18886,33346,80452,30.7555812374437
"Morgantown, WV MSA",12348,22050,61129,65410,48.0932138985797
"Wheeling, WV-OH MSA",14003,25006,54062,41798,60.0246336035255
"Napa, CA MSA",10033,17917,84124,0,100
"La Crosse-Onalaska, WI-MN MSA",15293,27309,68359,65292,50.5031969745668
"Sherman-Denison, TX MSA",11374,20311,41725,92792,29.9323680001332
"Carbondale-Marion, IL MSA",14206,25368,49562,35239,63.3046811987204
"Harrisonburg, VA MSA",6869,12267,34386,56069,39.5759648584608
"Hammond, LA MSA",13166,23511,37994,64044,40.529896919739
"Battle Creek, MI MSA",14544,25972,51264,64467,45.746432273103
"Springfield, OH MSA",14246,25440,54843,35442,64.6535217117545
"Jonesboro, AR MSA",16949,30267,35973,92097,28.9776451655923
"The Villages, FL MSA",9472,16915,88901,28532,75.4007120557716
"Manhattan, KS MSA",12267,21906,42100,45090,52.4309667973861
"Johnstown, PA MSA",14818,26461,54637,34023,65.7484157335789
"Albany-Lebanon, OR MSA",5653,10095,53527,79603,37.7661044080317
"Mount Vernon-Anacortes, WA MSA",6022,10754,64557,46081,57.2506087276091
"Bismarck, ND MSA",21528,38443,54027,70481,44.9558411702496
"Lawton, OK MSA",14956,26708,45572,80180,35.740435632469
"Sierra Vista-Douglas, AZ MSA",12180,21750,54062,5572,92.5197381791617
"St. Joseph, MO-KS MSA",15024,26829,26134,94259,22.6139778915061
"Glens Falls, NY MSA",6835,12206,71202,54601,54.3671960032877
"Pittsfield, MA MSA",6551,11699,56300,32581,63.7117901439168
"Cleveland, TN MSA",17413,31095,35669,52001,47.7335318750923
"New Bern, NC MSA",11486,20511,49637,24687,70.5472258471025
"Farmington, NM MSA",15691,28020,63121,59736,50.9105598984403
"Ames, IA MSA",13404,23936,62465,59893,50.0782897583852
"Goldsboro, NC MSA",11460,20465,37959,48078,47.8873465442717
"Staunton, VA MSA",5984,10686,33926,90732,25.4000083093025
"Lawrence, KS MSA",9379,16749,57539,44675,56.5541751180749
"San Angelo, TX MSA",17061,30467,39392,47565,51.6594009995356
"Altoona, PA MSA",13518,24140,45516,74158,37.5089053226985
"Mansfield, OH MSA",11612,20736,39902,37459,56.1944678547781
"Wenatchee, WA MSA",10876,19422,59436,19284,77.790411799806
"Missoula, MT MSA",9356,16708,62802,8588,89.2084255287277
"Owensboro, KY MSA",12811,22877,47388,52642,49.1392504718632
"Brunswick, GA MSA",10859,19392,40406,66932,37.8843864247433
"Weirton-Steubenville, WV-OH MSA",10774,19240,45927,70488,38.0655359774256
"Beckley, WV MSA",10630,18983,47699,69061,39.3233995517948
"Sheboygan, WI MSA",14815,26456,48708,65203,42.5309518053105
"Muncie, IN MSA",10988,19622,43403,71640,36.3836186302802
"Anniston-Oxford, AL MSA",14725,26295,30791,42305,49.9502197223539
"California-Lexington Park, MD MSA",6053,10809,52065,46129,52.0811101245718
"Williamsport, PA MSA",11953,21345,45227,69784,38.0269795634081
"Twin Falls, ID MSA",12414,22168,35740,53636,42.9595381651542
"Longview, WA MSA",6606,11797,46670,67103,38.690009132415
"Michigan City-La Porte, IN MSA",12442,22218,47873,12685,82.8726566867098
"Kankakee, IL MSA",14580,26036,38617,47025,49.4417000971495
"Watertown-Fort Drum, NY MSA",6160,11000,46863,34013,58.3542385784721
"Lewiston-Auburn, ME MSA",8390,14983,55286,50694,50.6322444296631
"Sebring-Avon Park, FL MSA",8745,15617,38857,62270,37.5789613290634
"Decatur, IL MSA",11002,19647,39239,35623,56.0489656439591
"Fond du Lac, WI MSA",13879,24784,35465,65507,35.5357641632385
"Bay City, MI MSA",11258,20104,47324,18041,75.9856442605343
"Gettysburg, PA MSA",9662,17254,39310,17738,73.1558564379933
"Lima, OH MSA",11922,21290,33735,54272,40.4302359254308
"Gadsden, AL MSA",14192,25343,28719,40675,48.9614215265767
"Ithaca, NY MSA",4356,7779,66268,27670,69.1245064933273
"Mankato, MN MSA",10942,19540,50515,53460,47.0986186030179
"Grand Forks, ND-MN MSA",14607,26084,47009,7227,90.0633771474268
"Victoria, TX MSA",12202,21790,41650,54688,43.2435002022523
"Cheyenne, WY MSA",10251,18306,35955,49132,43.6790654092378
"Hot Springs, AR MSA",10478,18711,30070,57185,35.8630802340288
"Rome, GA MSA",12147,21692,31050,29259,58.5874628669201
"Dubuque, IA MSA",13519,24142,50340,45473,52.5627768951627
"Cumberland, MD-WV MSA",10026,17904,37148,18438,71.5995733250427
"Fairbanks, AK MSA",8000,14286,35528,54983,38.6522712076597
"Cape Girardeau, MO-IL MSA",11230,20054,30035,66689,30.585281850104
"Pocatello, ID MSA",9551,17056,34848,57293,37.2970810281746
"Corvallis, OR MSA",3275,5849,57887,33828,60.9069988817325
"Ocean City, NJ MSA",9274,16561,52438,14469,80.2101305462013
"Parkersburg-Vienna, WV MSA",14680,26215,61498,0,100
"Pine Bluff, AR MSA",13381,23895,22259,15269,71.9318032419838
"Grants Pass, OR MSA",3638,6497,32110,43865,41.0154551859216
"Columbus, IN MSA",8196,14636,38723,17301,72.0364878700918
"Elmira, NY MSA",7779,13892,35331,49925,39.7238625970739
"Bloomsburg-Berwick, PA MSA",7906,14118,41336,16030,74.4100766643122
"Midland, MI MSA",7575,13527,40151,44947,45.313744182626
"Kokomo, IN MSA",10365,18509,29573,43321,42.4880399133609
"Great Falls, MT MSA",9467,16906,29105,49081,37.3022482746846
"Hinesville, GA MSA",5072,9058,15211,57278,21.0932969606618
"Casper, WY MSA",8220,14679,25881,42529,39.3919327588693
"Danville, IL MSA",10043,17934,23860,49663,33.0453987591011
"Grand Island, NE MSA",10183,18184,28404,39734,43.5437100131433
"Lewiston, ID-WA MSA",5240,9358,19911,32868,38.7117701211187
"Enid, OK MSA",7833,13988,19909,36538,36.6086333474859
