Metropolitan Statistical Area,Population,Fraction of population that yields herd immunity,Fraction of population with natural immunity,Fraction of population that has been vaccinated,Vaccine Countdown,Progress to Herd Immunity
"Bakersfield, CA MSA",900202,0.949871715594015,0.489285714285714,0.347701960226705,589048,68.3360106488236
"Albany-Schenectady-Troy, NY MSA",880381,0.943631206451382,0.233928571428571,0.60083304841881,377262,68.6901297412294
"Knoxville, TN MSA",869046,0.918073058906258,0.482142857142857,0.424965997196926,443530,74.0907665192868
"McAllen-Edinburg-Mission, TX MSA",868707,0.996342682559604,0.548214285714286,0.515916183477283,509237,76.0771875279367
"Baton Rouge, LA MSA",854884,0.985263761377481,0.2375,0.357972543643348,625489,49.0385089775099
"New Haven-Milford, CT MSA",854757,0.964539209720942,0.180357142857143,0.608541374917082,388487,65.2399683309102
"Oxnard-Thousand Oaks-Ventura, CA MSA",846006,0.894094084185295,0.489285714285714,0.54688028217294,282416,82.8386344121343
"El Paso, TX MSA",844124,0.902602623391612,0.548214285714286,0.560315782989229,262741,85.978332570899
"Allentown-Bethlehem-Easton, PA-NJ MSA",844052,0.922180954763796,0.397185872857529,0.527119182230479,371852,74.0814771863511
"Columbia, SC MSA",838433,0.907641722816451,0.476785714285714,0.402745359498016,429472,73.4249661036718
"North Port-Sarasota-Bradenton, FL MSA",836995,0.880527284304223,0.498214285714286,0.507728242104194,283602,82.6218561817428
"Dayton-Kettering, OH MSA",807611,0.97801224737249,0.655357142857143,0.446058808015245,479855,81.1559393895959
"Charleston-North Charleston, SC MSA",802122,0.924518052104026,0.476785714285714,0.419048473922919,426543,72.9150335051306
"Greensboro-High Point, NC MSA",771851,0.991323455606156,0.496428571428571,0.414822290830743,522655,69.0422440622357
"Cape Coral-Fort Myers, FL MSA",770577,0.901122187221319,0.498214285714286,0.46266239454331,330965,78.475032337402
"Stockton, CA MSA",762148,0.931005483938506,0.489285714285714,0.407600623500947,421778,72.6780283379718
"Boise City, ID MSA",749202,0.927264533240426,0.266071428571429,0.39672611658805,452720,56.9549657552554
"Colorado Springs, CO MSA",745791,0.931422272989008,0.2,0.392673014289526,464771,51.826608004483
"Little Rock-North Little Rock-Conway, AR MSA",742384,0.91773284366699,0.483928571428571,0.370917207267398,418016,71.502983868285
"Lakeland-Winter Haven, FL MSA",724777,0.900197486055743,0.498214285714286,0.385823501573587,365501,74.7008234663556
"Akron, OH MSA",703479,0.933068119760834,0.655357142857143,0.486949859199777,287285,86.4244032630513
"Des Moines-West Des Moines, IA MSA",699292,0.988772833520025,0.330357142857143,0.512538395977646,405551,64.6511543881627
"Springfield, MA MSA",697382,0.944310919078558,0.0875,0.515487924838897,368088,54.0970614606911
"Ogden-Clearfield, UT MSA",683864,0.896650516258867,0.476785714285714,0.426273352596423,318245,75.5606313639937
"Poughkeepsie-Newburgh-Middletown, NY MSA",679158,0.980236784496065,0.233928571428571,0.515561916372921,385005,60.1273191502518
"Winston-Salem, NC MSA",676008,0.898975638198024,0.496428571428571,0.400919811599863,329409,75.4337635701461
"Deltona-Daytona Beach-Ormond Beach, FL MSA",668365,0.889503515992825,0.498214285714286,0.44786007645523,279763,78.7485470993534
"Madison, WI MSA",664865,0.887200704963944,0.189285714285714,0.659002955487204,197806,75.5322341206006
"Syracuse, NY MSA",648593,0.966216601127948,0.233928571428571,0.570373099925531,318939,64.9109581254564
"Provo-Orem, UT MSA",648252,0.906532451234548,0.476785714285714,0.354440865589308,361842,71.0056639775721
"Durham-Chapel Hill, NC MSA",644367,0.934307452769122,0.496428571428571,0.520681537074369,287054,78.3905640662095
"Toledo, OH MSA",641816,0.948515687228488,0.655357142857143,0.461761626385132,310233,84.1931994612805
"Wichita, KS MSA",640218,0.919739896694874,0.233928571428571,0.3540793917072,410138,51.977050037302
"Augusta-Richmond County, GA-SC MSA",608980,0.961171085462845,0.349084218107092,0.333275312818155,433323,56.6314333717962
"Palm Bay-Melbourne-Titusville, FL MSA",601942,0.946293964762017,0.498214285714286,0.469483770861645,314639,75.0545323692863
"Jackson, MS MSA",594806,0.938245285714711,0.466071428571429,0.3836898081055,356235,69.3260168185202
"Harrisburg-Carlisle, PA MSA",577941,0.887303136518877,0.435714285714286,0.452335099949649,252485,74.9953279551557
"Spokane-Spokane Valley, WA MSA",568521,0.884045811041965,0.121428571428571,0.459212588453197,287248,54.8087575605682
"Chattanooga, TN-GA MSA",565194,0.920533547052555,0.429294969641271,0.366291928081331,333524,67.07361757325
"Scranton–Wilkes-Barre, PA MSA",553885,0.922055756555213,0.435714285714286,0.504404343861993,251038,75.0366373957277
"Modesto, CA MSA",550660,0.883434174568672,0.489285714285714,0.386209276141358,259527,75.4786342459486
"Lansing-East Lansing, MI MSA",550391,0.909333370234727,0.435714285714286,0.457603776224539,261425,73.4726838294584
"Lancaster, PA MSA",545724,0.936709944037437,0.435714285714286,0.446467445082129,294703,70.7215687171085
"Portland-South Portland, ME MSA",538500,0.990727208685057,0.203571428571429,0.674980501392758,227890,69.3821471102526
"Youngstown-Warren-Boardman, OH-PA MSA",536081,0.924250522714788,0.610523992642903,0.428261773873724,250216,82.2982396181379
"Fayetteville-Springdale-Rogers, AR MSA",534904,0.961139965864302,0.483928571428571,0.355295529665136,359536,67.5188504151319
"Fayetteville, NC MSA",526719,0.915448339253078,0.496428571428571,0.379118657196722,287290,72.997080686844
"Lexington-Fayette, KY MSA",517056,0.881611858679821,0.408928571428571,0.526302760242604,187309,78.1412859375656
"Pensacola-Ferry Pass-Brent, FL MSA",502629,0.908411216156805,0.498214285714286,0.359666871589184,275762,72.7250393019154
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA",496901,0.923688711681058,0.48243149253358,0.436267988995796,253926,74.2295752444214
"Santa Rosa-Petaluma, CA MSA",494336,0.869888535170226,0.489285714285714,0.609826110176075,107872,88.4697175341852
"Port St. Lucie, FL MSA",489297,0.963137560660065,0.498214285714286,0.440803847152139,288041,72.3971818946851
"Lafayette, LA MSA",489207,0.930646338504467,0.2375,0.301050475565558,346848,47.7190819415374
"Reno, NV MSA",475642,0.889313198446186,0.0214285714285714,0.500399460098141,230703,51.9656657866059
"Huntsville, AL MSA",471824,0.932498371516569,0.185714285714286,0.393680694496253,295043,50.8554233622486
"Springfield, MO MSA",470300,0.913209875164673,0.494642857142857,0.336189666170529,274702,70.9091238489642
"Visalia, CA MSA",466195,0.876177058537837,0.489285714285714,0.352903827797381,227885,74.3565962658698
"Asheville, NC MSA",462680,0.977561508853095,0.496428571428571,0.474768738653065,271516,72.7934293394555
"Killeen-Temple, TX MSA",460303,0.914605053518821,0.548214285714286,0.269205284345312,290860,71.9080957068475
"York-Hanover, PA MSA",449058,0.896227533349416,0.435714285714286,0.420567053699077,218337,72.4483731892444
"Vallejo, CA MSA",447643,0.996601336737223,0.489285714285714,0.475599975873631,281173,71.0305936745895
"Santa Maria-Santa Barbara, CA MSA",446499,0.968472031899591,0.489285714285714,0.525649553526436,230782,75.4690639326846
"Salinas, CA MSA",434061,0.963047153561871,0.489285714285714,0.520963643358883,221264,75.6705348322205
"Salem, OR MSA",433903,0.904674338675733,0.0892857142857143,0.483624220159805,221805,53.6861532506748
"Mobile, AL MSA",429536,0.89424543873432,0.185714285714286,0.296880820233927,287758,45.0978554579826
"Corpus Christi, TX MSA",429024,0.996500981085822,0.548214285714286,0.425509994778847,290448,72.3762146388048
"Brownsville-Harlingen, TX MSA",423163,0.899596490811036,0.548214285714286,0.541242972566127,136656,85.4035728494508
"Reading, PA MSA",421164,0.892212882696142,0.435714285714286,0.432268664938124,196517,73.4404341771411
"Gulfport-Biloxi, MS MSA",417665,0.982442712754234,0.466071428571429,0.219532400368717,357122,58.1779049273124
"Manchester-Nashua, NH MSA",417025,0.901160225393764,0.266071428571429,0.514038726695042,186593,67.203628057911
"Salisbury, MD-DE MSA",415726,0.987982311094078,0.41430775404267,0.498041979573084,245391,68.5070106498794
"Fort Wayne, IN MSA",413263,0.967659872566007,0.632142857142857,0.417385538990909,246323,79.6072365550206
"Flint, MI MSA",405813,0.98181834778757,0.435714285714286,0.39775709501667,274960,64.9527551585936
"Peoria, IL MSA",400561,0.912923286908043,0.282142857142857,0.412718662076438,225762,60.1133305085631
"Canton-Massillon, OH MSA",397520,0.879774960691108,0.655357142857143,0.42206681424834,119831,89.3720848488849
"Anchorage, AK MSA",396317,0.939812555068008,0.507142857142857,0.417986107080948,220922,73.6901787541716
"Shreveport-Bossier City, LA MSA",394706,0.932821585371719,0.2375,0.319349085141852,273875,48.9539818588809
"Savannah, GA MSA",393353,0.977930625339777,0.2875,0.385788337701759,271771,54.6957787895649
"Beaumont-Port Arthur, TX MSA",392563,0.99723346583998,0.548214285714286,0.29551435056284,317503,67.0226736631777
"Tallahassee, FL MSA",387227,0.881380275325331,0.498214285714286,0.411859193702918,169060,77.6296972597162
"Naples-Marco Island, FL MSA",384902,0.922707275657745,0.498214285714286,0.539820525744215,154015,80.4156540840475
"Eugene-Springfield, OR MSA",382067,0.961782654559104,0.0892857142857143,0.5548529446406,194714,56.5685983778187
"Davenport-Moline-Rock Island, IA-IL MSA",379172,0.966643690896912,0.304133729924301,0.436392982604201,235640,59.7363616754498
"Montgomery, AL MSA",373290,0.957058317735964,0.185714285714286,0.322023091966032,272686,44.0632719042809
"Hickory-Lenoir-Morganton, NC MSA",369711,0.966322440021799,0.496428571428571,0.370846417877748,246212,68.766018286996
"Ann Arbor, MI MSA",367601,0.917472057200792,0.435714285714286,0.563064300695591,141727,78.6585822474224
"Trenton-Princeton, NJ MSA",367430,0.954307464383002,0.126785714285714,0.521791905941268,195171,56.2563184420877
"Ocala, FL MSA",365579,0.951966691867163,0.498214285714286,0.418199623063688,214431,72.1743973292173
"Fort Collins, CO MSA",356899,0.944147976938815,0.2,0.440533596339581,211643,54.7778740194254
"Huntington-Ashland, WV-KY-OH MSA",355873,0.901578481855642,0.494394218081812,0.374850016719448,185044,73.7559661958767
"Lincoln, NE MSA",336374,0.981407567755147,0.435714285714286,0.524050610332547,185158,71.5153575792909
"Rockford, IL MSA",336116,0.939758286927888,0.282142857142857,0.429042354425258,197914,59.5190137468778
"Gainesville, FL MSA",329128,0.928493355781548,0.498214285714286,0.427617826499113,172844,74.4571349131964
"Boulder, CO MSA",326196,0.980035636536905,0.2,0.499117095243351,190586,57.0759151730243
"Greeley, CO MSA",324492,0.983650871588485,0.2,0.340932904355115,242549,45.2875816006035
"South Bend-Mishawaka, IN-MI MSA",323613,0.923021480040739,0.600708871398862,0.456743085104739,142442,82.8631839753196
"Green Bay, WI MSA",322906,0.870835373895349,0.189285714285714,0.483707332784154,145431,62.2642730018975
"Lubbock, TX MSA",322257,0.915226625919028,0.548214285714286,0.350161517050056,178035,75.4558969487006
"Columbus, GA-AL MSA",321048,0.895835398670653,0.26912392606179,0.297214123744736,210461,51.8653258673016
"Spartanburg, SC MSA",319785,0.887883038847232,0.476785714285714,0.307025032443673,180996,69.9823717585853
"Evansville, IN-KY MSA",315086,0.948730963240374,0.684440109775018,0.498930450734085,136010,87.0782483361301
"Roanoke, VA MSA",313222,0.925844068751355,0.0767857142857143,0.46410852366692,174701,49.944713926105
"Clarksville, TN-KY MSA",307820,0.89045027828308,0.461899161847833,0.353255149113118,163653,71.085088064177
"Kingsport-Bristol, TN-VA MSA",307202,0.892324314036566,0.360657901222741,0.392484423929532,163278,65.726835613038
"Kennewick-Richland, WA MSA",299612,0.938496330550904,0.121428571428571,0.399520045926064,189897,46.5995193518572
"Wilmington, NC MSA",297533,0.942339906275554,0.496428571428571,0.443762540625746,160705,74.0229814804269
"Olympia-Lacey-Tumwater, WA MSA",290536,0.878151094860287,0.121428571428571,0.513509513451001,128854,60.0657315867026
"Utica-Rome, NY MSA",289990,0.902461470146258,0.233928571428571,0.48792716990241,139693,63.197925670278
"Duluth, MN-WI MSA",288732,0.956922787069799,0.233165932669148,0.482790269176953,163395,59.1859618690933
"Hagerstown-Martinsburg, MD-WV MSA",288104,0.982062687056234,0.480686209295453,0.393062921722711,195816,67.6532073085587
"Longview, TX MSA",286657,0.866762452168169,0.548214285714286,0.219167855660249,161750,73.5298927308369
"Crestview-Fort Walton Beach-Destin, FL MSA",284809,0.913651832277978,0.498214285714286,0.37608362095299,154887,73.1193559348085
"San Luis Obispo-Paso Robles, CA MSA",283111,0.964389926187838,0.489285714285714,0.500309066055363,150992,74.5807461619819
"Merced, CA MSA",277680,0.996502775528962,0.489285714285714,0.319111927398444,217810,63.8195144018458
"Laredo, TX MSA",276652,0.931980984753806,0.548214285714286,0.575477495192516,101905,83.9295606465328
"Waco, TX MSA",273920,0.995864784545856,0.548214285714286,0.321663259345794,213460,68.1824355169504
"Santa Cruz-Watsonville, CA MSA",273213,0.902172381046571,0.489285714285714,0.56952268010673,89820,83.2504698610208
"Cedar Rapids, IA MSA",273032,0.947154926272649,0.330357142857143,0.52697852266401,135547,68.4107518312486
"Bremerton-Silverdale-Port Orchard, WA MSA",271473,0.883274781390649,0.121428571428571,0.516051320020776,121468,59.9448476834231
"Erie, PA MSA",269728,0.98159637216778,0.435714285714286,0.461598350931309,165418,68.2704545745086
"Sioux Falls, SD MSA",268232,0.887078023313129,0.610714285714286,0.469414536669749,85671,87.3854386226722
"Norwich-New London, CT MSA",265206,0.955985325044341,0.180357142857143,0.62854535719403,112156,67.3673085933851
"Kalamazoo-Portage, MI MSA",265066,0.991946508907205,0.435714285714286,0.618140387677031,126467,75.5727541911917
"Amarillo, TX MSA",265053,0.913918462840654,0.548214285714286,0.310368115056234,156126,73.7934734478435
"College Station-Bryan, TX MSA",264728,0.993615525849862,0.548214285714286,0.381319694176664,189040,70.778040276404
"Atlantic City-Hammonton, NJ MSA",263670,0.950343501013882,0.126785714285714,0.50247278795464,143820,54.8933610522269
"Lynchburg, VA MSA",263566,0.873760247638484,0.0767857142857143,0.381251754778689,152322,45.0426847831768
"Charleston, WV MSA",257074,0.965143525659718,0.492857142857143,0.46768634712184,145776,73.1831624387481
"Tuscaloosa, AL MSA",252047,0.871581875478777,0.185714285714286,0.298733966284066,160592,46.4263447994865
"Yakima, WA MSA",250873,0.915653411945965,0.121428571428571,0.449338908531408,139260,52.0641608835892
"Fort Smith, AR-OK MSA",250368,0.930924571341597,0.495520814789202,0.322033966002045,159470,68.9351558704044
"Fargo, ND-MN MSA",246145,0.930423350983803,0.238587700919609,0.475995856101079,131339,60.7007433287684
"Binghamton, NY MSA",238691,0.909224148845146,0.233928571428571,0.512503613458404,111456,64.5914992418094
"Appleton, WI MSA",237974,0.975812679155774,0.189285714285714,0.486061502517082,140857,55.7419502070844
"Prescott Valley-Prescott, AZ MSA",235099,0.921622269819475,0.457142857142857,0.353948762010898,140293,68.3655473693172
"Lafayette-West Lafayette, IN MSA",233002,0.990203349225954,0.632142857142857,0.436923288212118,150193,78.4480960354854
"Tyler, TX MSA",232751,0.949583549168656,0.548214285714286,0.325944893899489,153889,71.6888796512548
"Topeka, KS MSA",231969,0.96715676657549,0.233928571428571,0.445645754389595,143318,55.9563270261374
"Macon-Bibb County, GA MSA",229996,0.935925872971009,0.2875,0.335297135602358,155453,53.6911418646697
"Bellingham, WA MSA",229247,0.923400935979143,0.121428571428571,0.621975423887772,89925,66.4103100360819
"Champaign-Urbana, IL MSA",226033,0.956553182810817,0.282142857142857,0.507713475465972,121188,63.7875696309086
"Daphne-Fairhope-Foley, AL MSA",223234,0.895568980169813,0.185714285714286,0.311677432649148,146651,46.2420346917403
"Hilton Head Island-Bluffton-Beaufort, SC MSA",222195,0.896035094612205,0.476785714285714,0.43798015256869,100510,76.2277553421338
"Rochester, MN MSA",221921,0.9302821190824,0.251785714285714,0.583203031709482,94178,69.2811843721841
"Medford, OR MSA",220944,0.857672370069656,0.0892857142857143,0.439980266492867,109917,52.4573733165572
"Burlington-South Burlington, VT MSA",220411,0.980736271801427,0.282142857142857,0.602420024408945,105550,68.4535937148157
"Chico, CA MSA",219186,0.997561628314821,0.489285714285714,0.392424698657761,156364,67.1297797532017
"Charlottesville, VA MSA",218615,0.98553024556506,0.0767857142857143,0.607748782105528,106236,59.0301351878767
"Las Cruces, NM MSA",218195,0.997688699464108,0.578571428571429,0.518769907651413,127917,77.7129623660553
"Yuma, AZ MSA",213787,0.976877082278564,0.457142857142857,0.484828357196649,123774,71.0443670775418
"Athens-Clarke County, GA MSA",213750,0.969748146010336,0.2875,0.392004678362573,143626,55.5683454737181
"Barnstable Town, MA MSA",212990,0.945981062544432,0.0875,0.0441523076200761,213242,13.0827230621411
"Lake Havasu City-Kingman, AZ MSA",212181,0.995532739156626,0.457142857142857,0.305196978051758,169060,60.8973825631169
"Lake Charles, LA MSA",210409,0.923914150434129,0.2375,0.272089121663047,153210,45.9156469832108
"Columbia, MO MSA",208173,0.995389039504689,0.494642857142857,0.519169152579825,121116,73.4157283018776
"Houma-Thibodaux, LA MSA",208075,0.897006999926271,0.2375,0.292865553286075,139029,48.8824486295658
"Springfield, IL MSA",206868,0.991901937122925,0.282142857142857,0.494527911518456,124959,60.6555133011571
"Elkhart-Goshen, IN MSA",206341,0.967629377697801,0.632142857142857,0.334412453172176,140090,76.7708466555721
"Florence, SC MSA",204911,0.924689642404909,0.476785714285714,0.376753810190766,117707,70.7476716949575
"Gainesville, GA MSA",204441,0.941861592752099,0.2875,0.343874271794797,138320,53.9367334540122
"Johnson City, TN MSA",203649,0.991385533983992,0.482142857142857,0.404711046948426,140094,67.6595622953259
"St. Cloud, MN MSA",201964,0.973160509737834,0.251785714285714,0.407968746905389,133960,54.1029921704452
"Monroe, LA MSA",200261,0.95615124540042,0.2375,0.268549542846585,155937,44.1135359920835
"Jacksonville, NC MSA",197938,0.854028581242044,0.496428571428571,0.366235892047005,83688,77.5632015362086
"Bend, OR MSA",197692,0.943376563576655,0.0892857142857143,0.555121097464743,96258,57.6955987340222
"Racine, WI MSA",196311,0.890768367549612,0.189285714285714,0.461308841582998,98175,59.0362696567473
"Saginaw, MI MSA",190539,0.963583822979677,0.435714285714286,0.429434394008576,116224,67.8514514781201
"Punta Gorda, FL MSA",188910,0.896742209381555,0.498214285714286,0.520025408924885,68469,81.7471807597338
"Terre Haute, IN MSA",186367,0.914237908656885,0.632142857142857,0.363304662306095,91090,82.3005307015311
"Warner Robins, GA MSA",185409,0.913695451622923,0.2875,0.343591735029044,117352,55.5795915570512
"Midland, TX MSA",182603,0.939682194075698,0.548214285714286,0.292355547280165,122420,70.9908247381956
"Billings, MT MSA",181667,0.88397296429772,0.260714285714286,0.392019464184469,98956,59.0003605780862
"El Centro, CA MSA",181215,0.994390216674311,0.489285714285714,0.559076235410976,97826,75.0471092713001
"Dover, DE MSA",180786,0.889451656503728,0.371428571428571,0.400102884072882,93213,67.2068554072766
"Greenville, NC MSA",180742,0.964338072581357,0.496428571428571,0.387795863717343,116512,69.7041023182741
"Redding, CA MSA",180080,0.861409997413164,0.489285714285714,0.319108174144825,88327,73.8279691548845
"Joplin, MO MSA",179564,0.940477275174801,0.494642857142857,0.272571339466708,127072,65.776617838188
"Bowling Green, KY MSA",179240,0.862082925588982,0.408928571428571,0.339661905824593,91805,68.3944150897169
"Jackson, TN MSA",178644,0.896663223462628,0.482142857142857,0.235647432883276,116788,66.0193679562267
"Kingston, NY MSA",177573,0.911772629229388,0.233928571428571,0.572181581659374,72977,68.9236896107922
"St. George, UT MSA",177556,0.852340155262625,0.476785714285714,0.362336389646084,77273,75.9564509610023
"Yuba City, CA MSA",175639,0.905765654394009,0.489285714285714,0.365750203542493,94906,72.579499968167
"Panama City, FL MSA",174705,0.92748613935182,0.498214285714286,0.337534701353711,107096,70.1517079557095
"Muskegon, MI MSA",173566,0.98992217608668,0.435714285714286,0.432763329223465,114294,66.2169460854328
"Iowa City, IA MSA",173105,0.987490871660641,0.330357142857143,0.586563068657751,87209,69.2529070145745
"Abilene, TX MSA",172060,0.996543137570994,0.548214285714286,0.317511333255841,135084,67.966617421612
"Oshkosh-Neenah, WI MSA",171907,0.990228654599941,0.189285714285714,0.478014275160407,106532,54.3374919791841
"Bloomington, IL MSA",171517,0.996805798384684,0.282142857142857,0.485998472454625,106370,59.8042853975345
"East Stroudsburg, PA MSA",170271,0.897918302532263,0.435714285714286,0.419484233956458,83539,72.2507101609859
