Metropolitan_Statistical_Area,Detected_cumulative_newCases,Inferred_cumulative_newCases,Vaccinations_completed,vaccine_countdown,Progress_to_Herd_Immunity (% of Herd Immunity Threshold)
"Albany-Schenectady-Troy, NY MSA",66351,118484,526922,294541,61.1577726211044
"Knoxville, TN MSA",98349,175624,362548,359162,48.2399602097922
"McAllen-Edinburg-Mission, TX MSA",91617,163602,435857,518674,39.7515069856611
"Baton Rouge, LA MSA",84821,151467,308772,599251,27.2659611233672
"New Haven-Milford, CT MSA",92534,165240,474400,372628,52.2390289569861
"Oxnard-Thousand Oaks-Ventura, CA MSA",81972,146379,454342,189528,69.7044719127763
"El Paso, TX MSA",137340,245250,459459,161707,74.8070478159062
"Allentown-Bethlehem-Easton, PA-NJ MSA",92275,164777,424375,290376,57.4522599714896
"Columbia, SC MSA",94922,169504,329162,337138,47.9677034684768
"North Port-Sarasota-Bradenton, FL MSA",72331,129163,417435,189356,67.960054586312
"Dayton-Kettering, OH MSA",78954,140990,339816,498727,34.7153952328335
"Charleston-North Charleston, SC MSA",80664,144043,329646,359886,44.9024350802273
"Greensboro-High Point, NC MSA",72310,129125,327353,508277,32.712087301747
"Cape Coral-Fort Myers, FL MSA",72994,130347,349600,255936,56.1108839255474
"Stockton, CA MSA",75133,134167,301896,370498,41.4502045815296
"Boise City, ID MSA",84915,151634,309641,336061,45.3690685345157
"Colorado Springs, CO MSA",75836,135422,284483,373363,39.7777482285081
"Little Rock-North Little Rock-Conway, AR MSA",79026,141118,269136,349621,40.9566011149404
"Lakeland-Winter Haven, FL MSA",72447,129370,271361,293273,46.3689130135963
"Akron, OH MSA",61852,110450,338011,290963,50.4869804764313
"Des Moines-West Des Moines, IA MSA",82668,147622,345478,404312,40.5404619051365
"Springfield, MA MSA",64247,114727,353714,294100,51.1335208674887
"Ogden-Clearfield, UT MSA",78235,139706,251662,265406,47.9594651174908
"Poughkeepsie-Newburgh-Middletown, NY MSA",78025,139331,326335,382129,40.8596319335968
"Winston-Salem, NC MSA",66681,119074,278404,246138,51.5482614815379
"Deltona-Daytona Beach-Ormond Beach, FL MSA",53056,94743,293399,214026,56.0240839789212
"Madison, WI MSA",58611,104663,357287,138164,71.2382491571667
"Syracuse, NY MSA",51323,91649,368324,282588,52.4814830611779
"Provo-Orem, UT MSA",100817,180031,208953,282035,43.5025257878676
"Durham-Chapel Hill, NC MSA",49008,87515,343403,238675,55.820146651705
"Toledo, OH MSA",61115,109134,289954,314352,43.9187009999113
"Wichita, KS MSA",71823,128256,222427,313292,39.0261194788155
"Augusta-Richmond County, GA-SC MSA",69265,123688,198447,397092,27.9077264681648
"Palm Bay-Melbourne-Titusville, FL MSA",43702,78040,276107,291192,44.2604402561915
"Jackson, MS MSA",51931,92734,217908,324043,35.7624839184354
"Harrisburg-Carlisle, PA MSA",50648,90443,264079,167022,60.0154114852313
"Spokane-Spokane Valley, WA MSA",50879,90856,225289,191940,52.7650807177706
"Chattanooga, TN-GA MSA",66863,119399,203332,269016,40.8373310220035
"Scranton–Wilkes-Barre, PA MSA",52727,94156,279168,194088,56.6459654172454
"Modesto, CA MSA",63940,114179,208272,182230,53.6023761270398
"Lansing-East Lansing, MI MSA",42751,76342,253756,199425,53.3652593822327
"Lancaster, PA MSA",55451,99020,253634,237393,48.4777593637646
"Portland-South Portland, ME MSA",32314,57704,350564,232483,55.8198736459886
"Youngstown-Warren-Boardman, OH-PA MSA",48800,87143,225132,237974,45.4420414454826
"Fayetteville-Springdale-Rogers, AR MSA",63560,113500,184894,337325,30.271542629099
"Fayetteville, NC MSA",47566,84940,138108,302002,27.6057531002365
"Lexington-Fayette, KY MSA",53917,96281,267754,101152,72.3983831332941
"Pensacola-Ferry Pass-Brent, FL MSA",51919,92713,176489,227699,41.5230465284731
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA",49289,88017,218244,207912,48.4881663227126
"Santa Rosa-Petaluma, CA MSA",31270,55840,294421,56649,83.1457865374733
"Port St. Lucie, FL MSA",53982,96397,211399,270869,39.1205426513511
"Lafayette, LA MSA",50707,90549,146777,282986,30.2549328327711
"Reno, NV MSA",46560,83143,226906,127200,63.2507658894489
"Huntsville, AL MSA",46175,82456,171283,247478,37.1046348700053
"Springfield, MO MSA",53325,95224,150671,231993,37.2804083250286
"Visalia, CA MSA",49915,89134,158885,164028,49.4037345668895
"Asheville, NC MSA",34582,61754,221745,259596,40.6149971254093
"Killeen-Temple, TX MSA",34757,62067,119588,267674,26.3835894488256
"York-Hanover, PA MSA",47088,84086,193236,148999,55.4458610581219
"Vallejo, CA MSA",34154,60990,207920,284647,35.875928699422
"Santa Maria-Santa Barbara, CA MSA",34716,61993,229353,222076,46.0809235914244
"Salinas, CA MSA",43993,78559,215440,213320,45.9406197438227
"Salem, OR MSA",27839,49713,200056,154373,53.523422921388
"Mobile, AL MSA",42727,76299,122293,203988,35.8103474539588
"Corpus Christi, TX MSA",46126,82368,178397,293219,31.0610079409393
"Brownsville-Harlingen, TX MSA",42581,76038,222550,106062,66.7146675051671
"Reading, PA MSA",48498,86604,180572,131186,57.612160787699
"Gulfport-Biloxi, MS MSA",24622,43968,74958,366713,8.23587291591515
"Manchester-Nashua, NH MSA",36450,65090,210632,119228,62.2250438644505
"Salisbury, MD-DE MSA",40353,72059,200790,244609,39.3685255998491
"Fort Wayne, IN MSA",46125,82367,165844,247713,34.8783732879261
"Flint, MI MSA",41776,74600,158248,267946,30.8815869511712
"Peoria, IL MSA",47489,84802,162469,161658,48.6404357268747
"Canton-Massillon, OH MSA",35481,63359,164300,121990,56.4246775079724
"Anchorage, AK MSA",42993,76774,159114,200375,40.6538715597989
"Shreveport-Bossier City, LA MSA",44890,80161,122216,225400,31.5886144836072
"Savannah, GA MSA",32448,57943,148265,260967,29.8471290572554
"Beaumont-Port Arthur, TX MSA",35491,63377,111944,320698,17.7468274729423
"Tallahassee, FL MSA",43371,77449,156166,117148,57.2814898274916
"Naples-Marco Island, FL MSA",36557,65281,203952,125792,59.6454080845494
"Eugene-Springfield, OR MSA",14132,25236,205507,176279,49.0739626457647
"Davenport-Moline-Rock Island, IA-IL MSA",42193,75345,153361,224798,35.41372425229
"Montgomery, AL MSA",44231,78984,104508,254686,23.7140307462842
"Hickory-Lenoir-Morganton, NC MSA",44015,78599,136532,231037,31.8638990813993
"Ann Arbor, MI MSA",27175,48527,200904,112009,61.7679024378279
"Trenton-Princeton, NJ MSA",34228,61122,202445,150765,53.7714357424512
"Ocala, FL MSA",32288,57658,149923,199292,38.1813117993761
"Fort Collins, CO MSA",27907,49834,154427,178801,41.9218020138528
"Huntington-Ashland, WV-KY-OH MSA",34512,61629,127562,152065,43.6190974472863
"Lincoln, NE MSA",33655,60099,174001,178936,44.2548107182898
"Rockford, IL MSA",41150,73483,141095,161537,43.5787836199826
"Gainesville, FL MSA",27169,48517,138730,151517,44.1375522296411
"Boulder, CO MSA",24210,43233,159763,182158,41.2726500369068
"Greeley, CO MSA",33660,60108,107292,235458,24.3973109149313
"South Bend-Mishawaka, IN-MI MSA",42622,76111,141148,129393,50.6757343094489
"Green Bay, WI MSA",43577,77817,130569,78018,64.5862466350439
"Lubbock, TX MSA",51001,91074,110993,142983,43.9398253505919
"Columbus, GA-AL MSA",31020,55393,88299,157954,33.8498681579432
"Spartanburg, SC MSA",42100,75179,96160,131038,43.4170899889309
"Evansville, IN-KY MSA",44385,79259,152632,138469,49.7110510825387
"Roanoke, VA MSA",26411,47163,141873,131410,48.6845897352124
"Clarksville, TN-KY MSA",30945,55259,105735,123949,44.8784521179807
"Kingsport-Bristol, TN-VA MSA",32228,57550,118473,111607,50.5791228262102
"Kennewick-Richland, WA MSA",31125,55581,107357,163706,35.6200413734542
"Wilmington, NC MSA",25170,44947,137211,138145,45.8954610632075
"Olympia-Lacey-Tumwater, WA MSA",11199,19999,138391,80510,60.4272978842148
"Utica-Rome, NY MSA",27896,49815,137535,91328,58.5641949562532
"Duluth, MN-WI MSA",26734,47740,147350,132733,48.5800237534503
"Hagerstown-Martinsburg, MD-WV MSA",28780,51393,107342,195582,28.9802972068797
"Longview, TX MSA",19522,34861,60811,138848,27.9464225822798
"Crestview-Fort Walton Beach-Destin, FL MSA",28216,50386,104523,130264,41.9270232752201
"San Luis Obispo-Paso Robles, CA MSA",21518,38425,138734,143950,44.2724409337149
"Merced, CA MSA",32466,57975,86344,218835,20.5077741567395
"Laredo, TX MSA",47029,83981,153914,79624,65.4350782353929
"Waco, TX MSA",27865,49759,85847,214726,20.8043308711374
"Santa Cruz-Watsonville, CA MSA",16317,29138,162357,59436,71.350990234519
"Cedar Rapids, IA MSA",26937,48102,139565,115933,51.1939441161977
"Bremerton-Silverdale-Port Orchard, WA MSA",8909,15909,122142,87490,54.7904704355841
"Erie, PA MSA",21238,37925,123208,160702,37.5954852501904
"Sioux Falls, SD MSA",42492,75879,125033,57553,70.2906796869236
"Norwich-New London, CT MSA",22620,40393,145929,111106,53.0188372889814
"Kalamazoo-Portage, MI MSA",30363,54220,161626,125557,51.6743902899859
"Amarillo, TX MSA",35965,64224,80604,131592,37.0147853126914
"College Station-Bryan, TX MSA",32864,58686,98600,189607,27.2338219094955
"Atlantic City-Hammonton, NJ MSA",31697,56602,134287,113110,51.1322394511869
"Lynchburg, VA MSA",16316,29136,69459,121145,33.3326486868844
"Charleston, WV MSA",22107,39477,118503,138199,41.1995951072505
"Tuscaloosa, AL MSA",30955,55277,73030,93698,45.65812128193
"Yakima, WA MSA",31956,57065,100729,103151,48.1180612226123
"Fort Smith, AR-OK MSA",34638,61854,78038,137368,33.9017880833011
"Fargo, ND-MN MSA",33073,59059,125633,86274,57.711969653285
"Binghamton, NY MSA",22515,40206,121614,72378,60.9589010075198
"Appleton, WI MSA",30462,54397,93039,150982,32.5414134424616
"Prescott Valley-Prescott, AZ MSA",19726,35225,85997,115982,38.8827764162802
"Lafayette-West Lafayette, IN MSA",26122,46647,99378,151713,33.2797410800917
"Tyler, TX MSA",20812,37165,74152,146292,28.2474984463289
"Topeka, KS MSA",22983,41042,101703,130740,38.68512500136
"Macon-Bibb County, GA MSA",22529,40231,75681,131050,32.3590173818236
"Bellingham, WA MSA",9982,17825,123094,79581,57.2258168270377
"Champaign-Urbana, IL MSA",24614,43954,112258,105568,47.7061970113237
"Daphne-Fairhope-Foley, AL MSA",22154,39561,67700,102893,37.9733383018473
"Hilton Head Island-Bluffton-Beaufort, SC MSA",19624,35043,96486,75434,54.3841100520554
"Rochester, MN MSA",18982,33897,130197,66469,63.8480797773544
"Medford, OR MSA",11724,20936,92642,57901,59.6749727353117
"Burlington-South Burlington, VT MSA",9808,17515,132096,100198,52.2789389257138
"Chico, CA MSA",12750,22768,84201,157709,27.6136662456815
"Charlottesville, VA MSA",10335,18456,63258,170204,19.270805329428
"Las Cruces, NM MSA",25417,45388,111868,128831,40.6183936767027
"Yuma, AZ MSA",37360,66715,91491,126409,37.3052979389025
"Athens-Clarke County, GA MSA",24151,43127,82500,132858,32.8466907442582
"Barnstable Town, MA MSA",13969,24945,9365,191671,0
"Lake Havasu City-Kingman, AZ MSA",24080,43000,67668,164840,21.4483711987866
"Lake Charles, LA MSA",24045,42938,56660,122151,28.5777338172927
"Columbia, MO MSA",27974,49954,102667,125185,39.174984149237
"Houma-Thibodaux, LA MSA",21505,38402,62854,96507,37.8803104767587
"Springfield, IL MSA",20483,36577,100337,123954,38.8627006389695
"Elkhart-Goshen, IN MSA",29608,52872,66721,138001,27.3333624116729
"Florence, SC MSA",26683,47649,75492,97226,41.7628702907734
"Gainesville, GA MSA",28087,50156,68718,115390,34.1387855917202
"Johnson City, TN MSA",23738,42390,81077,139145,30.1948235084313
"St. Cloud, MN MSA",28429,50767,84652,119962,36.4033044437665
"Monroe, LA MSA",21714,38775,54106,138642,22.3986483452114
"Jacksonville, NC MSA",17969,32088,41978,83699,34.0228071313826
"Bend, OR MSA",10167,18156,106580,79387,53.3442376507586
"Racine, WI MSA",25375,45313,76704,65219,54.5703118040362
"Saginaw, MI MSA",22535,40242,80882,106785,38.4417321118284
"Punta Gorda, FL MSA",13478,24068,97161,51637,63.3583118979529
"Terre Haute, IN MSA",19367,34584,63986,89447,39.1716746141951
"Warner Robins, GA MSA",18719,33427,62502,90151,38.2717510015598
"Midland, TX MSA",17850,31875,52431,113990,26.6983226831537
"Billings, MT MSA",19845,35438,68897,61379,52.7178885292622
"El Centro, CA MSA",28701,51252,94758,102718,42.5238800222197
"Dover, DE MSA",18277,32638,70550,63662,51.6325005983437
"Greenville, NC MSA",20595,36777,71501,107205,34.9822741994844
"Redding, CA MSA",12615,22527,57557,64562,45.6022575324906
"Joplin, MO MSA",16464,29400,47380,117202,23.5329168492441
"Bowling Green, KY MSA",20925,37367,59490,54301,54.1485776899233
"Jackson, TN MSA",13815,24670,41342,98609,25.9865457216095
"Kingston, NY MSA",13948,24908,104248,43247,68.8943623511612
"St. George, UT MSA",21871,39056,49771,55643,50.7845336000546
"Yuba City, CA MSA",16347,29192,61912,78985,41.4591954883166
"Panama City, FL MSA",20069,35838,57643,92910,35.2725811531725
"Muskegon, MI MSA",18444,32936,74867,112084,33.7811758109628
"Iowa City, IA MSA",17235,30777,97156,87985,47.5587206304539
"Abilene, TX MSA",19865,35474,53371,135759,20.4211436648815
"Oshkosh-Neenah, WI MSA",21519,38427,66968,118127,29.591922392334
"Bloomington, IL MSA",18595,33206,81687,107031,37.1032129748474
"East Stroudsburg, PA MSA",14848,26515,70870,62048,51.3396269152826
"Burlington, NC MSA",19078,34068,74449,110528,33.850498773723
"Eau Claire, WI MSA",19714,35204,71760,114563,31.8181904948222
"Bloomington, IN MSA",17388,31050,90883,78900,49.3640186720832
"Hattiesburg, MS MSA",18377,32817,51883,58800,47.9970271542436
"Waterloo-Cedar Falls, IA MSA",20655,36884,79135,35811,69.5725566735516
"Pueblo, CO MSA",19653,35095,50482,82024,36.6611598603761
"Blacksburg-Christiansburg, VA MSA",14382,25683,68153,83543,40.8668555797939
"Kahului-Wailuku-Lahaina, HI MSA",4920,8786,86550,78324,47.5691361698604
"Odessa, TX MSA",17645,31509,46269,136782,17.114686294758
"Coeur d'Alene, ID MSA",19154,34204,53110,85045,35.996858921453
"Auburn-Opelika, AL MSA",16390,29268,53619,99642,30.157795888158
"Janesville-Beloit, WI MSA",18408,32872,68792,110308,31.7507337773717
"Wausau-Weston, WI MSA",16438,29354,51769,58452,47.2069739169923
"State College, PA MSA",16931,30234,77001,79151,45.2637692655291
"Sebastian-Vero Beach, FL MSA",13017,23245,79504,73522,47.8382240229382
"Jackson, MI MSA",21070,37625,66250,79033,42.4554902304327
"Madera, CA MSA",16733,29881,56741,41698,58.9783446237947
"Chambersburg-Waynesboro, PA MSA",15489,27659,50939,109396,25.1813154721046
"Grand Junction, CO MSA",17518,31283,44274,70504,37.9515260942188
"Elizabethtown-Fort Knox, KY MSA",13548,24193,63405,105260,30.8103261522068
"Niles, MI MSA",15629,27909,63614,105675,30.7273922542185
"Hanford-Corcoran, CA MSA",23146,41333,41434,126277,16.6377764743684
"Decatur, AL MSA",17841,31859,45925,120991,19.7249573338911
"Bangor, ME MSA",6367,11370,81821,83323,44.0378974746072
"Alexandria, LA MSA",15140,27036,45294,115296,20.9571231482123
"Idaho Falls, ID MSA",18109,32338,52061,113334,24.1537533420343
"Wichita Falls, TX MSA",17116,30565,49275,73871,37.9231444565064
"Jefferson City, MO MSA",18258,32604,50354,73699,38.6771765305595
"Monroe, MI MSA",15442,27575,51702,76806,37.0653305013577
"Santa Fe, NM MSA",10884,19436,90004,22460,79.1205102927708
"Homosassa Springs, FL MSA",11550,20625,65247,38580,61.8740523297074
"Vineland-Bridgeton, NJ MSA",17263,30827,60064,95298,32.8063099295866
"Dothan, AL MSA",15470,27625,41741,114054,19.6269651981261
"Texarkana, TX-AR MSA",12274,21918,25305,93974,17.1686577556954
"Florence-Muscle Shoals, AL MSA",16119,28784,46658,115200,21.1599040710189
"Valdosta, GA MSA",15849,28302,38108,82250,28.9783535884568
"Albany, GA MSA",13423,23970,51075,86035,32.3673044515037
"Rocky Mount, NC MSA",17460,31179,57202,68724,42.8590537955089
"Dalton, GA MSA",22179,39606,44239,70232,38.6274289296274
"Sioux City, IA-NE-SD MSA",27380,48893,68330,27909,73.7306178585925
"Flagstaff, AZ MSA",18098,32318,69295,80012,41.3512419200834
"Morristown, TN MSA",17727,31656,47069,58569,44.5613587980087
"Logan, UT-ID MSA",17902,31968,46322,48665,50.4594703134922
"Rapid City, SD MSA",16775,29956,44472,98752,25.0088224139463
"Lebanon, PA MSA",16209,28945,56327,59604,46.7743625605121
"Winchester, VA-WV MSA",10057,17959,43914,110858,20.5071685774033
"Sumter, SC MSA",10659,19034,33437,91430,21.3069009165648
"Morgantown, WV MSA",12365,22081,61202,76081,39.6251308151328
"Wheeling, WV-OH MSA",14042,25075,54122,53642,48.6971002382965
"Napa, CA MSA",10079,17999,84317,5166,94.1302184145088
"La Crosse-Onalaska, WI-MN MSA",15310,27340,68399,76862,41.7321681960907
"Sherman-Denison, TX MSA",11374,20311,41845,104566,21.0417707593535
"Carbondale-Marion, IL MSA",14336,25600,49655,46788,51.2783967741914
"Harrisonburg, VA MSA",6890,12304,34397,64006,31.0224759979782
"Hammond, LA MSA",13468,24050,38153,74971,30.3832818370144
"Battle Creek, MI MSA",14589,26052,51264,76659,35.485996736684
"Springfield, OH MSA",14268,25479,54937,47661,52.467453820437
"Jonesboro, AR MSA",17242,30790,36049,106643,17.7602203480489
"The Villages, FL MSA",9565,17081,89034,37137,67.9817833876066
"Manhattan, KS MSA",12446,22225,42239,54970,42.0077676835732
"Johnstown, PA MSA",14834,26490,54760,46851,52.8342305362227
"Albany-Lebanon, OR MSA",5827,10406,53665,88279,30.9831781595748
"Mount Vernon-Anacortes, WA MSA",6078,10854,64557,53032,50.8021588516431
"Bismarck, ND MSA",21551,38484,53754,88091,31.2028064943524
"Lawton, OK MSA",15245,27224,45694,92446,25.9099565038567
"Sierra Vista-Douglas, AZ MSA",12229,21838,54142,16634,77.6692973568156
"St. Joseph, MO-KS MSA",15459,27606,26182,108081,11.2662063515619
"Glens Falls, NY MSA",6850,12233,71288,60999,49.0200653651865
"Pittsfield, MA MSA",6574,11740,56446,39263,56.2694827175533
"Cleveland, TN MSA",17454,31168,35753,65396,34.2701496221907
"New Bern, NC MSA",11508,20550,49721,34505,58.8338813081489
"Farmington, NM MSA",15770,28161,59090,75378,38.0563844921761
"Ames, IA MSA",13419,23963,62465,69935,41.7081327409325
"Goldsboro, NC MSA",11553,20631,38041,57564,37.6052917441336
"Staunton, VA MSA",5994,10704,33961,101020,16.9411986885084
"Lawrence, KS MSA",9430,16840,57631,53176,48.287069190347
"San Angelo, TX MSA",17117,30567,39503,61050,37.9545134241911
"Altoona, PA MSA",13523,24149,45648,85340,28.0861131670095
"Mansfield, OH MSA",11638,20783,39962,46852,45.2100485312492
"Wenatchee, WA MSA",10962,19575,59436,29764,65.7204841738968
"Missoula, MT MSA",9416,16815,62802,18347,76.9453869557019
"Owensboro, KY MSA",12818,22890,47493,63312,38.8302918938225
"Brunswick, GA MSA",10946,19547,40482,76832,28.696784464619
"Weirton-Steubenville, WV-OH MSA",10790,19268,45975,79981,29.7244869057212
"Beckley, WV MSA",10663,19042,47786,78253,31.2473608132896
"Sheboygan, WI MSA",14841,26502,48708,76733,32.368564711392
"Muncie, IN MSA",11026,19690,43522,81251,27.8490423971091
"Anniston-Oxford, AL MSA",14795,26420,30898,53229,37.0263620281569
"California-Lexington Park, MD MSA",6076,10850,52148,52788,45.1637287011618
"Williamsport, PA MSA",11976,21386,45291,79645,29.2697292692829
"Twin Falls, ID MSA",12531,22377,35835,63819,32.1301880483626
"Longview, WA MSA",6744,12043,46670,74785,31.6711970100838
"Michigan City-La Porte, IN MSA",12484,22293,47965,24197,67.3291031807897
"Kankakee, IL MSA",14638,26140,38730,58771,36.8131452718675
"Watertown-Fort Drum, NY MSA",6192,11058,46991,40253,50.71393777377
"Lewiston-Auburn, ME MSA",8436,15065,55569,57524,43.9809292731277
"Sebring-Avon Park, FL MSA",8819,15749,38935,70658,29.1706158597874
"Decatur, IL MSA",11039,19713,39347,44746,44.7931678046372
"Fond du Lac, WI MSA",13893,24809,35465,76818,24.4048167599136
"Bay City, MI MSA",11266,20118,47324,28610,61.91725970256
"Gettysburg, PA MSA",9697,17317,39443,25685,61.1291110953804
"Lima, OH MSA",11955,21349,33824,64113,29.6286062036989
"Gadsden, AL MSA",14275,25492,28832,51390,35.5163479348685
"Ithaca, NY MSA",4365,7795,66308,32115,64.1645654511459
"Mankato, MN MSA",10965,19581,50592,61463,39.1792442049624
"Grand Forks, ND-MN MSA",14617,26102,47086,22825,68.6172109298486
"Victoria, TX MSA",12298,21961,41809,64191,33.3810620516891
"Cheyenne, WY MSA",10823,19327,35955,57689,33.8700155579565
"Hot Springs, AR MSA",10775,19242,30127,66213,25.737555854433
"Rome, GA MSA",12171,21734,31102,38641,45.3083889620513
"Dubuque, IA MSA",13543,24184,50340,55637,41.959739144463
"Cumberland, MD-WV MSA",10051,17949,37198,26802,58.7163338896732
"Fairbanks, AK MSA",8009,14302,35650,62543,30.2171398094077
"Cape Girardeau, MO-IL MSA",11257,20102,30084,76463,20.4117981391908
"Pocatello, ID MSA",9569,17088,34912,65616,28.1881777659523
"Corvallis, OR MSA",3299,5892,57957,37701,56.4312038796322
"Ocean City, NJ MSA",9310,16625,52524,24078,67.0674907244063
"Parkersburg-Vienna, WV MSA",14705,26259,61564,4143,93.9085714500681
"Pine Bluff, AR MSA",13644,24365,22328,23861,56.1375831525951
"Grants Pass, OR MSA",3710,6625,32186,49250,33.7743341595039
"Columbus, IN MSA",8210,14661,38771,24810,59.8997320419039
"Elmira, NY MSA",7790,13911,35390,56501,31.7844358657441
"Bloomsburg-Berwick, PA MSA",7917,14138,41433,23494,62.4947187243513
"Midland, MI MSA",7581,13538,40151,50964,37.9929619000901
"Kokomo, IN MSA",10463,18684,29618,51730,31.3244455279925
"Great Falls, MT MSA",9567,17084,29105,56965,27.2309564386914
"Hinesville, GA MSA",5096,9100,15257,64217,11.5340663242923
"Casper, WY MSA",8291,14806,25881,49637,29.2623237403182
"Danville, IL MSA",10066,17975,23949,57920,21.9134868237347
"Grand Island, NE MSA",10202,18218,28480,47894,31.949525529005
