Metropolitan_Statistical_Area,Detected_cumulative_newCases,Inferred_cumulative_newCases,Vaccinations_completed,Vaccinations_countdown
"Grand Rapids-Kentwood, MI MSA",13498,13540.1842740658,439274,418633
"Rochester, NY MSA",7274,7270.44339078532,510006,513874
"Tucson, AZ MSA",24647,23803.4664882929,378332,457282
"Fresno, CA MSA",27769,27273.5681314766,338072,412781
"Tulsa, OK MSA",21984,21312.3403251023,321409,496949
"Urban Honolulu, HI MSA",10396,10109.0522634819,352360,349239
"Omaha-Council Bluffs, NE-IA MSA",21995,21442.6225525158,384763,572715
"Worcester, MA-CT MSA",15038,15781.2026525018,406784,390274
"Bridgeport-Stamford-Norwalk, CT MSA",19848,20361.7865088772,455933,400454
"Greenville-Anderson, SC MSA",22190,21614.8358625671,281058,597541
"Albuquerque, NM MSA",8237,8245.34281661302,423126,229419
"Bakersfield, CA MSA",31572,28685.5539417086,257077,575328
"Albany-Schenectady-Troy, NY MSA",6395,6321.87244482458,457479,325366
"Knoxville, TN MSA",16196,16237.8805679787,305070,369107
"McAllen-Edinburg-Mission, TX MSA",30683,29635.0559975755,362309,529447
"Baton Rouge, LA MSA",28480,27612.9716887597,260845,562686
"New Haven-Milford, CT MSA",14261,14349.1228281132,407205,402594
"Oxnard-Thousand Oaks-Ventura, CA MSA",12406,12241.9149511243,380785,284418
"El Paso, TX MSA",22697,22864.6155993283,374332,209558
"Allentown-Bethlehem-Easton, PA-NJ MSA",11783,11986.5111585166,352525,357335
"Columbia, SC MSA",24962,25443.2218066771,270038,364101
"North Port-Sarasota-Bradenton, FL MSA",19144,17775.1988577113,356734,235927
"Dayton-Kettering, OH MSA",10266,10254.5940909367,300269,489110
"Charleston-North Charleston, SC MSA",24884,25544.5446546509,278342,467139
"Greensboro-High Point, NC MSA",12024,12138.7027769108,293355,491168
"Cape Coral-Fort Myers, FL MSA",20024,19663.2619474055,294469,361512
"Stockton, CA MSA",19841,19977.9287616655,237222,402871
"Boise City, ID MSA",21011,21343.2012965374,268641,511297
"Colorado Springs, CO MSA",6927,6886.46929848949,222491,452746
"Little Rock-North Little Rock-Conway, AR MSA",14272,14637.0703890086,237964,376196
"Lakeland-Winter Haven, FL MSA",19243,17962.5891606089,209046,557206
"Akron, OH MSA",6235,6261.41307444935,293454,297440
"Des Moines-West Des Moines, IA MSA",20205,20034.9669408137,293149,274337
"Springfield, MA MSA",9620,10005.576243761,280340,348004
"Ogden-Clearfield, UT MSA",9287,9212.15947179213,211922,390889
"Poughkeepsie-Newburgh-Middletown, NY MSA",16913,17082.7864315457,276096,347394
"Winston-Salem, NC MSA",11097,11178.8332379781,249732,266976
"Deltona-Daytona Beach-Ormond Beach, FL MSA",12199,11471.854606175,240842,253070
"Madison, WI MSA",10548,10566.9126796112,323801,282961
"Syracuse, NY MSA",5175,5211.79007364681,315522,310988
"Provo-Orem, UT MSA",15948,15864.5865185766,172982,337964
"Durham-Chapel Hill, NC MSA",13850,13787.5071884791,311424,260709
"Toledo, OH MSA",9111,8877.64420677389,238866,317431
"Wichita, KS MSA",9885,10126.5386880364,196100,342104
"Augusta-Richmond County, GA-SC MSA",15326,14347.9287454386,149759,476375
"Palm Bay-Melbourne-Titusville, FL MSA",8429,9430.54575473021,221921,404079
"Jackson, MS MSA",15561,15871.4971191107,185409,401576
"Harrisburg-Carlisle, PA MSA",5675,5653.98893771545,212338,205769
"Spokane-Spokane Valley, WA MSA",6623,6891.58819286542,187507,211748
"Chattanooga, TN-GA MSA",12848,12927.0885508054,169145,310401
"Scranton–Wilkes-Barre, PA MSA",6500,6473.23800251609,235538,232233
"Modesto, CA MSA",16351,16137.0357812235,168284,233530
"Lansing-East Lansing, MI MSA",4493,4546.42247072416,198802,235794
"Lancaster, PA MSA",7566,7526.47804344398,213756,265955
"Portland-South Portland, ME MSA",3425,3407.95148143621,307597,238363
"Youngstown-Warren-Boardman, OH-PA MSA",5555,5549.65699808164,196838,250845
"Fayetteville-Springdale-Rogers, AR MSA",15606,15056.6589935855,155818,335483
"Fayetteville, NC MSA",8221,8232.91865406579,119926,337708
"Lexington-Fayette, KY MSA",9898,9767.62932636603,230864,150642
"Pensacola-Ferry Pass-Brent, FL MSA",17262,15829.1430306958,137631,257529
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA",11651,11451.3315018191,194638,303115
"Santa Rosa-Petaluma, CA MSA",7112,6789.20633615681,252933,54376
"Port St. Lucie, FL MSA",15680,15119.8598282751,242666,254282
"Lafayette, LA MSA",18691,17773.2131371894,128717,306435
"Reno, NV MSA",8752,8582.18709390454,197814,153884
"Huntsville, AL MSA",9631,8931.6845217182,148190,271798
"Springfield, MO MSA",8368,8449.13567602399,132948,266486
"Visalia, CA MSA",15687,15578.4995594133,137108,186326
"Asheville, NC MSA",5453,5386.79743333225,203159,255434
"Killeen-Temple, TX MSA",7332,7859.22031998952,94617,304177
"York-Hanover, PA MSA",4520,4534.76376474525,160029,185751
"Vallejo, CA MSA",6180,5824.46562040289,171543,286766
"Santa Maria-Santa Barbara, CA MSA",8930,9072.96687718258,198008,239810
"Salinas, CA MSA",9568,9562.25690014621,181670,229393
"Salem, OR MSA",4969,5009.79735027562,159818,179674
"Mobile, AL MSA",13122,12921.852088505,106344,270526
"Corpus Christi, TX MSA",21975,19405.9898292665,155499,289986
"Brownsville-Harlingen, TX MSA",22499,21723.5498210238,185917,236114
"Reading, PA MSA",6862,6820.87677836848,143556,173288
"Gulfport-Biloxi, MS MSA",4664,4552.59901970424,67015,374671
"Manchester-Nashua, NH MSA",4296,4306.21954516214,172088,240188
"Salisbury, MD-DE MSA",9800,9987.79217661541,173802,155911
"Fort Wayne, IN MSA",6280,6276.26429034373,144135,239139
"Flint, MI MSA",4334,4336.00151908329,137336,236252
"Peoria, IL MSA",5350,5482.17763735157,142815,112866
"Canton-Massillon, OH MSA",2908,2876.8037061189,143095,159971
"Anchorage, AK MSA",4611,4690.91374771516,145217,204004
"Shreveport-Bossier City, LA MSA",12272,12080.1165191797,106504,237043
"Savannah, GA MSA",10589,9684.47399765007,113310,276359
"Beaumont-Port Arthur, TX MSA",10404,10298.1662240056,94721,304312
"Tallahassee, FL MSA",14344,14481.7624296699,131229,227190
"Naples-Marco Island, FL MSA",12487,12157.2162261224,172006,144929
"Eugene-Springfield, OR MSA",991,983.754620775534,171448,186390
"Davenport-Moline-Rock Island, IA-IL MSA",6474,6520.29001079018,143373,180455
"Montgomery, AL MSA",13586,13767.0255182295,90466,283606
"Hickory-Lenoir-Morganton, NC MSA",7077,7002.01748166639,123754,252680
"Ann Arbor, MI MSA",3881,3967.69668445524,178863,121815
"Trenton-Princeton, NJ MSA",8612,8762.49836403605,164193,192206
"Ocala, FL MSA",9453,9665.33585581582,127798,238999
"Fort Collins, CO MSA",2373,2366.28252179098,131105,206092
"Huntington-Ashland, WV-KY-OH MSA",3124,3135.88551528285,112966,187259
"Lincoln, NE MSA",5981,5965.52845893014,154618,101668
"Rockford, IL MSA",6353,6318.07600970127,121140,145221
"Gainesville, FL MSA",8082,8235.21681634002,110899,196593
"Boulder, CO MSA",3753,3794.41978650199,131429,197229
"Greeley, CO MSA",4540,4555.6797397254,86044,206283
"South Bend-Mishawaka, IN-MI MSA",6660,6630.66227678706,125480,138694
"Green Bay, WI MSA",8844,8833.28299403301,119962,101056
"Lubbock, TX MSA",10694,10526.4313666092,100329,187618
"Columbus, GA-AL MSA",10816,10904.4280662778,66431,190314
"Spartanburg, SC MSA",6361,6384.09424995625,78177,161515
"Evansville, IN-KY MSA",6152,6286.58201305818,139176,175273
"Roanoke, VA MSA",3251,3404.38208916053,120626,139159
"Clarksville, TN-KY MSA",4506,5189.16387352497,83346,190216
"Kingsport-Bristol, TN-VA MSA",3719,3929.11366050385,103318,171614
"Kennewick-Richland, WA MSA",8903,8897.11166533229,89263,178288
"Wilmington, NC MSA",4818,4651.42561484723,126605,140046
"Olympia-Lacey-Tumwater, WA MSA",1141,1097.77181005795,112595,176216
"Utica-Rome, NY MSA",2699,2725.30017749952,118860,98395
"Duluth, MN-WI MSA",2042,2057.06108423431,133736,53155
"Hagerstown-Martinsburg, MD-WV MSA",2653,2699.78157694784,90657,148167
"Longview, TX MSA",3830,3963.62993786623,52984,162971
"Crestview-Fort Walton Beach-Destin, FL MSA",6626,6099.71551810482,77341,156936
"San Luis Obispo-Paso Robles, CA MSA",3438,3185.35720897645,119322,157231
"Merced, CA MSA",8820,8733.2056326628,66703,215016
"Laredo, TX MSA",13201,12014.6259243803,126459,114886
"Waco, TX MSA",7571,8050.44859325254,74797,215274
"Santa Cruz-Watsonville, CA MSA",2276,2433.80284017555,136802,73988
"Cedar Rapids, IA MSA",4343,4328.35963869563,124444,121949
"Bremerton-Silverdale-Port Orchard, WA MSA",1142,1168.2085172003,101508,95443
"Erie, PA MSA",1483,1536.72177546299,105216,156439
"Sioux Falls, SD MSA",7667,7858.64196428886,115099,79666
"Norwich-New London, CT MSA",1774,2005.65985309239,126366,106403
"Kalamazoo-Portage, MI MSA",3360,3363.54121359154,142759,75824
"Amarillo, TX MSA",7252,7745.48223747032,70095,108173
"College Station-Bryan, TX MSA",7366,7158.18548012347,86647,194253
"Atlantic City-Hammonton, NJ MSA",3982,3957.1259247356,116724,105260
"Lynchburg, VA MSA",1700,1667.34161254384,60886,202816
"Charleston, WV MSA",2952,3075.40858667355,103327,131491
"Tuscaloosa, AL MSA",8576,8554.77641755516,63465,110860
"Yakima, WA MSA",12135,12068.8492778937,82632,115828
"Fort Smith, AR-OK MSA",6793,6686.5681807934,68481,165136
"Fargo, ND-MN MSA",6003,6053.59887368927,115084,103699
"Binghamton, NY MSA",1696,1683.29267369897,105790,79617
"Appleton, WI MSA",4735,4807.67329538457,84364,88428
"Prescott Valley-Prescott, AZ MSA",2480,2472.01797985936,79035,158730
"Lafayette-West Lafayette, IN MSA",2594,2594.93061506487,88323,78588
"Tyler, TX MSA",4436,5098.67115163983,65534,109292
"Topeka, KS MSA",3174,3131.21610462818,91123,124125
"Macon-Bibb County, GA MSA",7504,7512.38014586704,58640,157628
"Bellingham, WA MSA",1274,1261.57333668587,97225,96828
"Champaign-Urbana, IL MSA",4606,4505.57153261953,98203,137167
"Daphne-Fairhope-Foley, AL MSA",5087,4726.27857981229,57068,119291
"Hilton Head Island-Bluffton-Beaufort, SC MSA",6218,5956.68626434635,81841,99211
"Rochester, MN MSA",2812,2815.68053350504,117020,73757
"Medford, OR MSA",1057,1027.48938322467,77926,137242
"Burlington-South Burlington, VT MSA",966,980.772080785016,96685,89207
"Chico, CA MSA",2764,2789.76442647754,72988,149345
"Charlottesville, VA MSA",2438,2424.36662649129,54260,113178
"Las Cruces, NM MSA",3158,3130.65620307538,89093,122325
"Yuma, AZ MSA",12580,12869.0742086383,77415,120720
"Athens-Clarke County, GA MSA",6592,6578.9883186096,65838,132843
"Barnstable Town, MA MSA",1713,1968.56860995028,0,204022
"Lake Havasu City-Kingman, AZ MSA",3895,3798.33844213512,58969,159658
"Lake Charles, LA MSA",7968,7365.70807338346,49275,134219
"Columbia, MO MSA",5628,5627.92669868213,92140,114026
"Houma-Thibodaux, LA MSA",7136,6935.60432299723,53203,148318
"Springfield, IL MSA",2380,2336.83788853796,89077,67034
"Elkhart-Goshen, IN MSA",6481,6570.51379944302,57364,152311
"Florence, SC MSA",6774,6580.17894049786,64926,122187
"Gainesville, GA MSA",8827,8400.03662087002,50174,115970
"Johnson City, TN MSA",3585,3602.53495255017,70005,132605
"St. Cloud, MN MSA",4327,3961.67742104502,72365,70529
"Monroe, LA MSA",7037,7072.48952107107,47351,161834
"Jacksonville, NC MSA",1859,1858.99383043647,36856,111012
"Bend, OR MSA",777,796.75665061406,91838,113172
"Racine, WI MSA",4989,4865.22580270395,70007,90765
"Saginaw, MI MSA",2880,2882.92789453201,72907,91193
"Punta Gorda, FL MSA",2957,2904.93059556127,85091,53728
"Terre Haute, IN MSA",2527,2510.79663696284,57472,81857
"Warner Robins, GA MSA",4027,4204.81980480981,46886,106217
"Midland, TX MSA",3588,3810.28656934799,46360,138932
"Billings, MT MSA",3025,2993.63820904971,61408,128176
"El Centro, CA MSA",11583,11337.0224589427,68899,115765
"Dover, DE MSA",2875,2919.92006797854,58067,77457
"Greenville, NC MSA",4572,4456.08680376669,65229,116119
"Redding, CA MSA",709,698.192052568165,48905,132161
"Joplin, MO MSA",3552,3625.27311610347,0,195271
"Bowling Green, KY MSA",4941,4898.55391993754,52200,68844
"Jackson, TN MSA",3292,3395.7016591725,35892,124486
"Kingston, NY MSA",2242,2196.468232095,91095,48455
"St. George, UT MSA",3146,3116.6880500128,44945,74017
"Yuba City, CA MSA",2809,2576.30507589315,50449,128434
"Panama City, FL MSA",5878,5100.05147526587,46515,131703
"Muskegon, MI MSA",2391,2751.62582834204,66352,93667
"Iowa City, IA MSA",5443,5084.60571847559,88914,88551
"Abilene, TX MSA",3556,4160.15083540122,47171,117822
"Oshkosh-Neenah, WI MSA",2953,2918.72135800147,60967,113336
"Bloomington, IL MSA",3171,3031.22586344223,68938,54498
"East Stroudsburg, PA MSA",1775,1768.19882554199,56342,77597
"Burlington, NC MSA",3749,3778.14039156987,66778,105882
"Eau Claire, WI MSA",2142,2174.04469231969,66833,109196
"Bloomington, IN MSA",3016,3002.1419127324,79983,76076
"Hattiesburg, MS MSA",5248,5349.31646745539,46937,67869
"Waterloo-Cedar Falls, IA MSA",5049,4911.30779023097,80226,36498
"Pueblo, CO MSA",1041,1040.02346563751,40990,89867
"Blacksburg-Christiansburg, VA MSA",2254,2115.47412561163,58754,89604
"Kahului-Wailuku-Lahaina, HI MSA",478,522.156427888776,62848,53644
"Odessa, TX MSA",4649,4424.2620461716,40837,132011
"Coeur d'Alene, ID MSA",2504,2598.72867317324,47403,127218
"Auburn-Opelika, AL MSA",5751,5754.10660331093,48968,98699
"Janesville-Beloit, WI MSA",2459,2499.95603356914,60316,74814
"Wausau-Weston, WI MSA",1177,1181.85790558339,46794,108756
"State College, PA MSA",1836,2098.53571661526,67623,87460
"Sebastian-Vero Beach, FL MSA",3099,2862.00819371818,67690,92701
"Jackson, MI MSA",2733,3062.12027719312,59110,85638
"Madera, CA MSA",4391,4269.85944487076,48840,64684
"Chambersburg-Waynesboro, PA MSA",1719,1722.63617164161,43009,74091
"Grand Junction, CO MSA",544,568.311456889919,38287,83001
"Elizabethtown-Fort Knox, KY MSA",1562,1556.17336170839,50980,92932
"Niles, MI MSA",1865,1911.42225678165,56391,93279
"Hanford-Corcoran, CA MSA",7534,7634.84459330896,32717,66256
"Decatur, AL MSA",3806,3815.22899050892,41193,116821
"Bangor, ME MSA",252,270.160750031408,71933,45088
"Alexandria, LA MSA",4580,4486.35284078356,38936,115157
"Idaho Falls, ID MSA",2999,2813.66873081283,45083,100497
"Wichita Falls, TX MSA",1790,1734.8544987171,43897,105340
"Jefferson City, MO MSA",2377,2430.18385215961,45612,83485
"Monroe, MI MSA",1471,1499.39985570014,45184,79745
"Santa Fe, NM MSA",958,939.013604442812,79178,69826
"Homosassa Springs, FL MSA",2646,2428.11620604172,54849,91779
"Vineland-Bridgeton, NJ MSA",3752,3771.8090858373,50609,87258
"Dothan, AL MSA",3783,3767.91885303522,37542,82567
"Texarkana, TX-AR MSA",2029,1947.12001921021,21422,102239
"Florence-Muscle Shoals, AL MSA",3262,3205.43023331715,42267,102753
"Valdosta, GA MSA",4863,4539.68879529221,29659,114355
"Albany, GA MSA",4751,4999.06862192224,42338,83303
"Rocky Mount, NC MSA",3456,3582.0114386276,48991,61503
"Dalton, GA MSA",5253,5160.30388209606,33563,83704
"Sioux City, IA-NE-SD MSA",8819,8689.59245384726,67231,56234
"Flagstaff, AZ MSA",3749,3936.37270192815,63395,86018
"Morristown, TN MSA",3254,3100.4343169809,39455,87533
"Logan, UT-ID MSA",2675,2627.09626494624,40854,107506
"Rapid City, SD MSA",2466,2499.01931816576,40777,101191
"Lebanon, PA MSA",1945,1951.88081098879,47281,69300
"Winchester, VA-WV MSA",948,960.630805900632,36745,102348
"Sumter, SC MSA",3130,3065.99406004956,29010,103372
"Morgantown, WV MSA",2051,2179.82598229677,55730,88167
"Wheeling, WV-OH MSA",1225,1242.94282080457,48453,53594
"Napa, CA MSA",1627,1549.09494306405,72468,10397
"La Crosse-Onalaska, WI-MN MSA",2876,2821.39397480038,62974,76150
"Sherman-Denison, TX MSA",1791,1679.37277729404,36484,34954
"Carbondale-Marion, IL MSA",2710,2750.82521376467,43373,60382
"Harrisonburg, VA MSA",1380,1422.20313438881,30228,64691
"Hammond, LA MSA",4385,4295.22916884069,34558,76339
"Battle Creek, MI MSA",1239,1233.79989600205,45066,57910
"Springfield, OH MSA",1742,1773.22939046476,48856,30976
"Jonesboro, AR MSA",3255,3247.10305696026,32031,84433
"The Villages, FL MSA",2164,2136.96017566002,76649,46362
"Manhattan, KS MSA",2263,2251.68730130842,35451,70904
"Johnstown, PA MSA",547,538.302321101699,48505,79645
"Albany-Lebanon, OR MSA",468,473.524304342713,43679,90411
"Mount Vernon-Anacortes, WA MSA",1080,1064.57082676804,53900,52387
"Bismarck, ND MSA",4229,4213.73214632226,49906,80431
"Lawton, OK MSA",1557,1599.9367041378,38047,92373
"Sierra Vista-Douglas, AZ MSA",1881,1977.06732465887,47051,71271
"St. Joseph, MO-KS MSA",2467,2390.80431079694,24140,56893
"Glens Falls, NY MSA",650,633.093263732477,60339,36509
"Pittsfield, MA MSA",702,778.542887897442,46394,45325
"Cleveland, TN MSA",3236,3153.779433874,29718,101250
"New Bern, NC MSA",1664,1726.20973790315,45541,39559
"Farmington, NM MSA",3266,3272.37497732893,55981,73705
"Ames, IA MSA",3793,3741.79108255609,54645,68218
"Goldsboro, NC MSA",3165,3074.76834458244,33743,61961
"Staunton, VA MSA",469,513.347855329011,30295,87674
"Lawrence, KS MSA",2084,2332.5348431596,52598,54884
"San Angelo, TX MSA",3589,3145.89010256174,36032,82289
"Altoona, PA MSA",589,566.22090323032,39135,70764
"Mansfield, OH MSA",804,807.067841581481,35799,54704
"Wenatchee, WA MSA",3298,3419.98833732136,51309,22960
"Missoula, MT MSA",621,628.635705688687,56573,66531
"Owensboro, KY MSA",1429,1502.40381763477,42074,58122
"Brunswick, GA MSA",4044,4248.7191205291,34436,90788
"Weirton-Steubenville, WV-OH MSA",572,578.572780220444,41395,80358
"Beckley, WV MSA",1042,1043.72086968259,42160,77835
"Sheboygan, WI MSA",1506,1509.46694384363,44228,26091
"Muncie, IN MSA",1887,1899.01877021767,38288,38959
"Anniston-Oxford, AL MSA",3374,3382.19455608784,27253,79736
"California-Lexington Park, MD MSA",1259,1305.81747868493,44919,54021
"Williamsport, PA MSA",630,556.636094630769,38396,59657
"Twin Falls, ID MSA",2809,2779.18876658491,30966,68887
"Longview, WA MSA",611,613.652152639663,38004,75054
"Michigan City-La Porte, IN MSA",1376,1415.84417608598,41442,33288
"Kankakee, IL MSA",2678,2695.88343706766,32550,69111
"Watertown-Fort Drum, NY MSA",163,162.116390812273,39067,52076
"Lewiston-Auburn, ME MSA",687,688.184873907575,47472,41022
"Sebring-Avon Park, FL MSA",2081,2036.77030048697,33744,68978
"Decatur, IL MSA",1396,1464.63250488945,34034,53333
"Fond du Lac, WI MSA",1832,1797.7353436043,32187,73205
"Bay City, MI MSA",971,1040.86602938881,42514,34923
"Gettysburg, PA MSA",796,808.169624650729,33058,34652
"Lima, OH MSA",1378,1418.8134363461,30078,62340
"Gadsden, AL MSA",3365,3294.32906976795,25763,78511
"Ithaca, NY MSA",398,405.357530987552,59538,21470
"Mankato, MN MSA",2115,2107.51699974194,44429,54956
"Grand Forks, ND-MN MSA",2374,2267.84025623164,43109,32444
"Victoria, TX MSA",4981,5897.73244993505,36556,67777
"Cheyenne, WY MSA",652,680.270912187098,22207,77384
"Hot Springs, AR MSA",1750,1762.59868520894,27383,67077
"Rome, GA MSA",2984,2906.50730950105,25746,39505
"Dubuque, IA MSA",2823,2874.68928082731,55857,41070
"Cumberland, MD-WV MSA",611,641.708843875884,32927,64537
"Fairbanks, AK MSA",1036,1075.54105082836,31498,33539
"Cape Girardeau, MO-IL MSA",1960,2000.46482386478,27552,71350
"Pocatello, ID MSA",1185,1217.00372977511,31008,63446
"Corvallis, OR MSA",280,370.802766518851,50289,44064
"Ocean City, NJ MSA",1007,1136.61707330173,47003,26905
"Parkersburg-Vienna, WV MSA",625,643.618293819889,54324,13292
"Pine Bluff, AR MSA",5048,5055.72769997313,19892,33294
"Grants Pass, OR MSA",186,232.761223684057,27636,62210
"Columbus, IN MSA",1166,1193.27053649994,34147,31137
"Elmira, NY MSA",338,329.051736981945,30637,44985
"Bloomsburg-Berwick, PA MSA",1027,1017.77461374996,36061,22920
"Midland, MI MSA",570,604.260559658942,35799,39112
"Kokomo, IN MSA",1285,1343.72856002417,26431,30396
"Great Falls, MT MSA",544,553.806900194233,25809,57450
"Hinesville, GA MSA",1295,1257.77402797785,10474,69220
"Casper, WY MSA",451,460.770777750383,17547,56177
"Danville, IL MSA",619,654.445524791274,17565,59414
"Grand Island, NE MSA",2258,2348.73692859994,25414,49328
"Lewiston, ID-WA MSA",489,497.77647339844,17068,39288
"Enid, OK MSA",1504,1522.21638066236,16892,43611
"Walla Walla, WA MSA",872,898.890457057181,23922,11906
"Carson City, NV MSA",525,523.71979674694,24189,19082
