Metropolitan_Statistical_Area,Detected_cumulative_newCases,Inferred_cumulative_newCases,Vaccinations_completed,Vaccinations_countdown,Progress_to_Herd_Immunity (% of population)
"Ann Arbor, MI MSA",27128,52627,197785,89998,69.2809299574109
"Trenton-Princeton, NJ MSA",34157,71257,191001,139126,57.3402631187893
"Ocala, FL MSA",32026,72710,142661,191637,40.5558278771704
"Fort Collins, CO MSA",27599,2060063,148357,168918,45.1320012336396
"Huntington-Ashland, WV-KY-OH MSA",34308,61527,123526,145842,45.9263894381161
"Lincoln, NE MSA",33533,2830291,168066,165662,48.390153201219
"Rockford, IL MSA",40997,1899003,135838,152941,46.5811717787489
"Gainesville, FL MSA",27001,2723389,133888,142281,47.5427514324173
"Boulder, CO MSA",24042,3086163,152623,172197,44.4840551521494
"Greeley, CO MSA",33333,1359779,101676,230522,25.9822002511352
"South Bend-Mishawaka, IN-MI MSA",42540,164044,137135,118984,54.6436172828164
"Green Bay, WI MSA",43524,79554,130038,67072,69.5548300944098
"Lubbock, TX MSA",50854,95405,107858,140331,44.9796103821707
"Columbus, GA-AL MSA",30666,1140263,84210,158150,33.7677846029776
"Spartanburg, SC MSA",42008,120394,89973,135428,41.5214644837447
"Evansville, IN-KY MSA",44036,86981,148621,124925,54.6299392390076
"Roanoke, VA MSA",26257,47563,134670,123958,51.5945846921654
"Clarksville, TN-KY MSA",30823,68684,97683,125470,44.2020458998704
"Kingsport-Bristol, TN-VA MSA",32098,171562,111955,108740,51.8486637587436
"Kennewick-Richland, WA MSA",30525,60686,103382,158388,37.7114284941215
"Wilmington, NC MSA",25083,48665,134570,125647,50.7903072583795
"Olympia-Lacey-Tumwater, WA MSA",10949,20124,133246,70763,65.2181950090758
"Utica-Rome, NY MSA",27845,57796,132736,80779,63.3503099199717
"Duluth, MN-WI MSA",26691,52439,145126,117805,54.3630423351782
"Hagerstown-Martinsburg, MD-WV MSA",28710,576090,102825,189151,31.3155208402538
"Longview, TX MSA",19124,35511,58624,139418,27.6506276185201
"Crestview-Fort Walton Beach-Destin, FL MSA",27938,96214,100060,126081,43.7918459556211
"San Luis Obispo-Paso Robles, CA MSA",21448,41839,133772,133755,48.2192451343455
"Merced, CA MSA",32325,68063,78808,217800,20.883739855772
"Laredo, TX MSA",46808,84900,146719,63973,72.2292055153319
"Waco, TX MSA",27716,91401,82638,208915,22.9475554145454
"Santa Cruz-Watsonville, CA MSA",16246,40165,158520,42325,79.5987391761898
"Cedar Rapids, IA MSA",26868,3838451,136126,103051,56.6170730949626
"Bremerton-Silverdale-Port Orchard, WA MSA",8761,16553,118182,78460,59.4566271616863
"Erie, PA MSA",21214,674866,120292,150227,41.6631837978392
"Sioux Falls, SD MSA",42476,81930,122386,45241,76.6462328586887
"Norwich-New London, CT MSA",22554,91476,139141,101215,57.2012458031452
"Kalamazoo-Portage, MI MSA",30305,2735379,158201,110595,57.4331116076442
"Amarillo, TX MSA",35784,1762178,77875,130871,37.3598848612168
"College Station-Bryan, TX MSA",32627,63617,95369,182455,29.9785713422869
"Atlantic City-Hammonton, NJ MSA",31639,66936,128770,103137,55.4409493437986
"Lynchburg, VA MSA",15917,30825,67023,119423,34.2802831659069
"Charleston, WV MSA",22041,43414,113548,130538,44.4591693580291
"Tuscaloosa, AL MSA",30826,57755,70076,95676,44.5109437957047
"Yakima, WA MSA",31673,56965,96571,98670,50.3718732812591
"Fort Smith, AR-OK MSA",34317,9171896,74650,136499,34.3199301990458
"Fargo, ND-MN MSA",33042,1408052,123216,72570,64.4291169731193
"Binghamton, NY MSA",22482,2384299,118123,61166,67.0067166684069
"Appleton, WI MSA",30418,2923124,92823,141375,36.8338101590124
"Prescott Valley-Prescott, AZ MSA",19527,36986,84359,109628,42.2310445841938
"Lafayette-West Lafayette, IN MSA",25925,3203400,96460,144012,36.6664825850532
"Tyler, TX MSA",20663,39019,72044,141757,30.4718004898166
"Topeka, KS MSA",22829,1941788,97868,123905,41.8906257709462
"Macon-Bibb County, GA MSA",22386,44200,72984,127480,34.2016599453253
"Bellingham, WA MSA",9863,21064,119305,69430,62.6819022417566
"Champaign-Urbana, IL MSA",24535,2720119,108073,97175,51.8637247515855
"Daphne-Fairhope-Foley, AL MSA",21921,59814,63419,103722,37.473594854307
"Hilton Head Island-Bluffton-Beaufort, SC MSA",19540,47740,91654,70790,57.1923953467269
"Rochester, MN MSA",18941,40901,127909,51498,71.9906785475063
"Medford, OR MSA",11581,22070,89503,51788,63.9323584742288
"Burlington-South Burlington, VT MSA",9774,2868285,128958,88621,57.7926889412531
"Chico, CA MSA",12666,104802,80822,152130,30.1743530550287
"Charlottesville, VA MSA",10295,862122,60595,166329,21.1087505560294
"Las Cruces, NM MSA",25331,2299130,100138,129420,40.3469080395158
"Yuma, AZ MSA",37297,346040,86367,122475,39.256432414362
"Athens-Clarke County, GA MSA",24069,46587,79818,127267,35.6726715060404
"Barnstable Town, MA MSA",13933,460859,0,203006,0
"Lake Havasu City-Kingman, AZ MSA",23561,1356616,65845,159508,23.9892428608108
"Lake Charles, LA MSA",23806,48720,53521,122735,28.2362662611474
"Columbia, MO MSA",27297,7686942,99971,116716,43.2899105321112
"Houma-Thibodaux, LA MSA",21021,39789,59457,96905,37.6241255737957
"Springfield, IL MSA",20368,5569449,97068,116379,42.5988853741117
"Elkhart-Goshen, IN MSA",29532,309433,64439,134614,29.1168415278508
"Florence, SC MSA",26594,47863,72928,93824,43.8006247522425
"Gainesville, GA MSA",27955,56034,65529,113674,35.118227865094
"Johnson City, TN MSA",23670,70325,75771,136203,31.6707430832503
"St. Cloud, MN MSA",28396,1984553,76441,120322,36.2124539210989
"Monroe, LA MSA",21473,45266,51968,136705,23.4828350862806
"Jacksonville, NC MSA",17821,31892,40528,85843,32.3327618320324
"Bend, OR MSA",10055,22515,102803,71209,58.1504505633525
"Racine, WI MSA",25328,1137689,76542,58746,59.0792182836277
"Saginaw, MI MSA",22514,41048,79303,99818,42.4579933130916
"Punta Gorda, FL MSA",13360,150887,94854,42362,69.939864992565
"Terre Haute, IN MSA",19229,3012223,62375,86063,41.4729597674765
"Warner Robins, GA MSA",18612,35354,59893,88110,39.6692657956921
"Midland, TX MSA",17792,33487,50893,111537,28.2757331091404
"Billings, MT MSA",19655,63190,67156,57683,55.56502979901
"El Centro, CA MSA",28908,238707,84754,103212,42.247461057004
"Dover, DE MSA",18215,682692,66903,61509,53.2682523216915
"Greenville, NC MSA",20472,60333,69671,101814,38.2518097602379
"Redding, CA MSA",12615,36827,55001,63109,46.8265058489197
"Joplin, MO MSA",15680,31616,0,167507,0
"Bowling Green, KY MSA",20817,39872,57202,54133,54.290435831543
"Jackson, TN MSA",13767,25388,38680,99553,25.2780028823271
"Kingston, NY MSA",13921,652436,101406,32231,76.817679675822
"St. George, UT MSA",21514,58792,48384,57542,49.1048942798617
"Yuba City, CA MSA",16197,30120,58338,77847,42.3026396300434
"Panama City, FL MSA",19892,36867,55632,90732,36.7899239391847
"Muskegon, MI MSA",18406,1463492,72886,106017,37.3655375963639
"Iowa City, IA MSA",17198,2043200,95002,79192,52.7995704286743
"Abilene, TX MSA",19824,1223124,51754,131727,22.7846109027309
"Oshkosh-Neenah, WI MSA",21491,683753,66792,111024,33.825574099795
"Bloomington, IL MSA",18558,2957174,78379,101617,40.2847510802017
"East Stroudsburg, PA MSA",14814,27179,68219,57814,54.660088809956
"Burlington, NC MSA",19005,34284,72393,104563,37.4204699558193
"Eau Claire, WI MSA",19691,746713,71605,106776,36.4525990788923
"Bloomington, IN MSA",17245,46990,88815,70380,54.8319345265047
"Hattiesburg, MS MSA",18175,893196,50397,58405,48.3463668527823
"Waterloo-Cedar Falls, IA MSA",20480,37165,77142,28744,75.5771569915547
"Pueblo, CO MSA",19537,2484531,48070,82098,36.604017143972
"Blacksburg-Christiansburg, VA MSA",14346,51999,65324,79633,43.6344195251036
"Kahului-Wailuku-Lahaina, HI MSA",4858,3342247,80007,75908,49.1864305753251
"Odessa, TX MSA",17512,34228,44548,133641,19.0180271608673
"Coeur d'Alene, ID MSA",19030,40094,51318,83343,37.2777495807003
"Auburn-Opelika, AL MSA",16301,32220,52351,96220,32.5563830549223
"Janesville-Beloit, WI MSA",18377,1621354,68602,102897,36.336034136148
"Wausau-Weston, WI MSA",16422,33519,51652,55557,49.8216972884819
"State College, PA MSA",16910,34091,75359,72175,50.0879653666986
"Sebastian-Vero Beach, FL MSA",12870,27046,77410,66705,52.6746923839136
"Jackson, MI MSA",21037,855633,65044,73501,46.4833802010177
"Madera, CA MSA",16660,33838,54593,40310,60.3438311618103
"Chambersburg-Waynesboro, PA MSA",15452,1196217,49151,106176,27.3835547146712
"Grand Junction, CO MSA",16907,31221,42430,71073,37.4507661139001
"Elizabethtown-Fort Knox, KY MSA",13416,4282113,60080,101948,32.9873753616301
"Niles, MI MSA",15582,1033522,62052,100359,34.2121633237862
"Hanford-Corcoran, CA MSA",23214,898923,38667,124935,17.5237026839822
"Decatur, AL MSA",17785,32686,44650,117444,22.0783189586127
"Bangor, ME MSA",6325,5257261,79701,76533,48.5982550727183
"Alexandria, LA MSA",14966,33784,43077,113118,22.450283238616
"Idaho Falls, ID MSA",18066,42921,49917,110061,26.3441354454765
"Wichita Falls, TX MSA",17050,34679,48060,71729,39.7231556188592
"Jefferson City, MO MSA",17894,36056,48927,71859,40.2081877408035
"Monroe, MI MSA",15408,27910,50520,73707,39.6046443671533
"Santa Fe, NM MSA",10810,21152,86366,13896,87.0818615773973
"Homosassa Springs, FL MSA",11446,37273,62909,34351,66.0532807562928
"Vineland-Bridgeton, NJ MSA",17209,322923,57009,92286,34.930041744442
"Dothan, AL MSA",15333,46959,40294,111548,21.3929254030597
"Texarkana, TX-AR MSA",11889,45521,24371,94834,16.4106294251987
"Florence-Muscle Shoals, AL MSA",16039,865054,45185,111769,23.5079975530704
"Valdosta, GA MSA",15700,32684,36801,81994,29.1994057645219
"Albany, GA MSA",13356,28916,49014,83451,34.3986043329161
"Rocky Mount, NC MSA",17376,36429,54673,66209,44.9501643202789
"Dalton, GA MSA",22132,240109,42345,70819,38.1144761557023
"Sioux City, IA-NE-SD MSA",27347,49888,66747,20791,80.430444512451
"Flagstaff, AZ MSA",17949,175104,67902,73698,45.9794009276897
"Morristown, TN MSA",17679,32474,43286,60378,42.849045083682
"Logan, UT-ID MSA",17723,1336219,44759,48559,50.5673773544204
"Rapid City, SD MSA",16716,2181182,43143,96027,27.0781573025763
"Lebanon, PA MSA",16193,1270827,54411,56436,49.6033475180367
"Winchester, VA-WV MSA",10018,782219,41621,108568,22.1492565093319
"Sumter, SC MSA",10576,20172,32209,90387,22.2046030093574
"Morgantown, WV MSA",12348,25098,59740,70969,43.6818116063033
"Wheeling, WV-OH MSA",14003,1388914,52446,50524,51.679137475107
"Napa, CA MSA",10033,68097,81765,0,100
"La Crosse-Onalaska, WI-MN MSA",15293,32432,68083,69420,47.3738273291433
"Sherman-Denison, TX MSA",11374,1174221,40637,101428,23.4112878428906
"Carbondale-Marion, IL MSA",14206,1745038,48319,44451,53.7119777509101
"Harrisonburg, VA MSA",6869,359351,33143,62888,32.2273141668102
"Hammond, LA MSA",13166,23791,36120,74891,30.4575683938569
"Battle Creek, MI MSA",14544,28244,49996,72918,38.634314432037
"Springfield, OH MSA",14246,35571,53541,43849,56.2691798865392
"Jonesboro, AR MSA",16949,949972,34830,104421,19.4737579490789
"The Villages, FL MSA",9472,19646,87656,26579,77.0845200382151
"Manhattan, KS MSA",12267,24100,40078,54582,42.4170997945205
"Johnstown, PA MSA",14818,14972522,53527,42680,57.0332534905548
"Albany-Lebanon, OR MSA",5653,1343872,51167,85111,33.4599313125383
"Mount Vernon-Anacortes, WA MSA",6022,11083,62639,47806,55.6503244467802
"Bismarck, ND MSA",21528,39058,53196,82766,35.3615180019704
"Lawton, OK MSA",14956,922607,43565,89833,28.0041226511797
"Sierra Vista-Douglas, AZ MSA",12180,22044,52515,13048,82.4834069924089
"St. Joseph, MO-KS MSA",15024,1224488,25546,106279,12.7456365581152
"Glens Falls, NY MSA",6835,971844,68903,55545,53.5782476878192
"Pittsfield, MA MSA",6551,11775,53932,35866,60.0530083576845
"Cleveland, TN MSA",17413,31916,32798,67516,32.1393268990737
"New Bern, NC MSA",11486,23859,48283,31480,62.4428512847566
"Farmington, NM MSA",15691,394076,61307,66248,45.5591732314161
"Ames, IA MSA",13404,24739,60909,64602,46.1532679106273
"Goldsboro, NC MSA",11460,289526,36831,56333,38.9395959249232
"Staunton, VA MSA",5984,126018,32892,98474,19.0345238532189
"Lawrence, KS MSA",9379,21040,56186,48255,53.0726742097976
"San Angelo, TX MSA",17061,30754,38570,59726,39.3001026826083
"Altoona, PA MSA",13518,7251454,44370,81814,31.0573853134019
"Mansfield, OH MSA",11612,629226,38995,45168,47.1793620775947
"Wenatchee, WA MSA",10876,1032836,57751,24453,71.8372194430956
"Missoula, MT MSA",9356,99168,61685,11317,85.7791979166991
"Owensboro, KY MSA",12811,30698,45866,60307,41.7336115308433
"Brunswick, GA MSA",10859,24464,39373,74039,31.2888018660965
"Weirton-Steubenville, WV-OH MSA",10774,42402,44400,76679,32.6257977700179
"Beckley, WV MSA",10630,2500377,46180,74764,34.3127763005225
"Sheboygan, WI MSA",14815,29952,48588,71481,36.9976069505299
"Muncie, IN MSA",10988,1506499,42185,77948,30.7821092265924
"Anniston-Oxford, AL MSA",14725,30955,29835,53877,36.2597326079958
"California-Lexington Park, MD MSA",6053,383176,50526,48784,49.3230912509942
"Williamsport, PA MSA",11953,4632832,44234,75805,32.6799149633749
"Twin Falls, ID MSA",12414,501389,34519,62427,33.6105430874055
"Longview, WA MSA",6606,12598,45152,71299,34.8562502590354
"Michigan City-La Porte, IN MSA",12442,424060,46354,21095,71.5174373516865
"Kankakee, IL MSA",14580,760704,37101,57431,38.2538283525655
"Watertown-Fort Drum, NY MSA",6160,12078,44663,37855,53.6500661919872
"Lewiston-Auburn, ME MSA",8390,779318,53551,53471,47.9278956463983
"Sebring-Avon Park, FL MSA",8745,21629,37581,68038,31.7969707870052
"Decatur, IL MSA",11002,20687,37741,43045,46.8918318542576
"Fond du Lac, WI MSA",13879,333002,35338,73136,28.0282053496972
"Bay City, MI MSA",11258,841316,46461,24137,67.871265202401
"Gettysburg, PA MSA",9662,17597,38243,23733,64.0832078499771
"Lima, OH MSA",11922,21547,32968,62007,31.9401835021409
"Gadsden, AL MSA",14192,26068,28046,51458,35.4310222228539
"Ithaca, NY MSA",4356,14711,64841,25687,71.3372315971846
"Mankato, MN MSA",10942,675233,49243,57317,43.2819214827755
"Grand Forks, ND-MN MSA",14607,27237,46106,18218,74.951515825629
"Victoria, TX MSA",12202,3211858,40330,61278,36.4042423455532
"Cheyenne, WY MSA",10251,21830,34179,56416,35.329279372457
"Hot Springs, AR MSA",10478,19256,29166,64669,27.4692582959589
"Rome, GA MSA",12147,984725,30101,38376,45.6834640616879
"Dubuque, IA MSA",13519,1223273,49514,50859,46.9441266270332
"Cumberland, MD-WV MSA",10026,19064,35827,25318,61.0021692940357
"Fairbanks, AK MSA",8000,4906333,34064,60563,32.4263408899023
"Cape Girardeau, MO-IL MSA",11230,27297,29470,73850,23.1315968844963
"Pocatello, ID MSA",9551,43919,33757,63180,30.8541982329441
"Corvallis, OR MSA",3275,246351,56539,32612,62.3122575242716
"Ocean City, NJ MSA",9274,191881,51018,18408,74.822591961744
"Parkersburg-Vienna, WV MSA",14680,842049,59839,0,100
"Pine Bluff, AR MSA",13381,25053,21558,27097,50.1890151580349
"Grants Pass, OR MSA",3638,10206,31102,47067,36.7097783936116
"Columbus, IN MSA",8196,491417,37621,21688,64.9458036487227
"Elmira, NY MSA",7779,2744898,34218,53880,34.9488576210384
"Bloomsburg-Berwick, PA MSA",7906,16214,40201,19789,68.4092955152885
"Midland, MI MSA",7575,14869,39337,47392,42.3389539747483
"Kokomo, IN MSA",10365,573810,28553,50064,33.5361886896078
"Great Falls, MT MSA",9467,24199,28348,54738,30.0758025724759
"Hinesville, GA MSA",5072,9630,14434,63847,12.0437817494914
"Casper, WY MSA",8220,16571,24703,48635,30.6902736891911
"Danville, IL MSA",10043,40533,23374,56028,24.4642410179594
