Metropolitan_Statistical_Area,Detected_cumulative_newCases,Inferred_cumulative_newCases,Vaccinations_completed,Vaccinations_countdown,Progress_to_Herd_Immunity (% of population)
"Reno, NV MSA",46327,92434,224161,103026,70.2348538248928
"Huntsville, AL MSA",45924,122342,167439,235685,40.1017701344653
"Springfield, MO MSA",50283,89884,148364,225488,39.0390430417903
"Visalia, CA MSA",49823,95158,156599,155951,51.895175271545
"Asheville, NC MSA",34486,2192868,219715,236891,45.8089773495559
"Killeen-Temple, TX MSA",34527,93972,116380,262707,27.7496269093473
"York-Hanover, PA MSA",46976,85815,190420,131734,60.6084944236581
"Vallejo, CA MSA",33802,3072400,205006,264766,40.3546362267341
"Santa Maria-Santa Barbara, CA MSA",34631,921049,226712,198534,51.7968176853863
"Salinas, CA MSA",43858,89757,212808,191156,51.557402530237
"Salem, OR MSA",27517,49500,196566,135825,59.1076089620434
"Mobile, AL MSA",42180,76389,119283,201027,36.7420961901042
"Corpus Christi, TX MSA",45801,96490,175798,276354,35.0261537912289
"Brownsville-Harlingen, TX MSA",42019,77505,217991,81929,74.2883030117369
"Reading, PA MSA",48435,98561,177442,115945,62.5367187240236
"Gulfport-Biloxi, MS MSA",24252,56512,74003,360282,9.84512893159432
"Manchester-Nashua, NH MSA",36377,1447233,204937,99665,68.4231807692024
"Salisbury, MD-DE MSA",40237,1518753,198185,224958,44.2394383767189
"Fort Wayne, IN MSA",45872,1148016,164129,232041,38.9984078998828
"Flint, MI MSA",41738,76241,157560,251594,35.0996916818798
"Peoria, IL MSA",47385,88195,160806,147574,53.1149937643532
"Canton-Massillon, OH MSA",35347,2103467,162170,107783,61.4994754966948
"Anchorage, AK MSA",42634,32169573,157277,186249,44.8376440381334
"Shreveport-Bossier City, LA MSA",44490,84260,119424,219422,33.4030034038245
"Savannah, GA MSA",32188,58697,146001,247558,33.4517221532073
"Beaumont-Port Arthur, TX MSA",35201,76226,109923,310654,20.3229298024291
"Tallahassee, FL MSA",43079,78755,154294,104777,61.7926269305075
"Naples-Marco Island, FL MSA",36153,908431,201832,102084,67.2510321713873
"Eugene-Springfield, OR MSA",13944,39971,203119,155548,55.0630349708327
"Davenport-Moline-Rock Island, IA-IL MSA",42140,86281,151807,210193,39.6098583695655
"Montgomery, AL MSA",44070,398371,102427,248631,25.5276818454072
"Hickory-Lenoir-Morganton, NC MSA",43891,98555,135048,218875,35.4506460499455
"Ann Arbor, MI MSA",27128,52627,200369,86836,70.3602172690697
"Trenton-Princeton, NJ MSA",34157,71257,199504,128978,60.451910185984
"Ocala, FL MSA",32026,72710,147768,185742,42.3844068815593
"Fort Collins, CO MSA",27599,2060063,151421,165371,46.2841389076843
"Huntington-Ashland, WV-KY-OH MSA",34308,61527,126376,142433,47.1903390438913
"Lincoln, NE MSA",33533,2830291,172499,160592,49.9696459229646
"Rockford, IL MSA",40997,1899003,139294,148785,48.0327684734712
"Gainesville, FL MSA",27001,2723389,137306,138269,49.0219263134846
"Boulder, CO MSA",24042,3086163,157350,166851,46.207594128767
"Greeley, CO MSA",33333,1359779,104936,226855,27.1596291806044
"South Bend-Mishawaka, IN-MI MSA",42540,164044,139936,115472,55.9823822941016
"Green Bay, WI MSA",43524,79554,130569,66364,69.8762038463951
"Lubbock, TX MSA",50854,95405,109773,137928,45.9217685386126
"Columbus, GA-AL MSA",30666,1140263,86560,155382,34.9270054200434
"Spartanburg, SC MSA",42008,120394,94752,129545,44.061775382836
"Evansville, IN-KY MSA",44036,86981,151398,121471,55.8843574088573
"Roanoke, VA MSA",26257,47563,137332,120805,52.8258265197651
"Clarksville, TN-KY MSA",30823,68684,100227,122415,45.5606395858184
"Kingsport-Bristol, TN-VA MSA",32098,171562,114422,105726,53.1832980003396
"Kennewick-Richland, WA MSA",30525,60686,105749,155623,38.7988082212079
"Wilmington, NC MSA",25083,48665,135973,124001,51.4349637503985
"Olympia-Lacey-Tumwater, WA MSA",10949,20124,136570,66902,67.1159742025803
"Utica-Rome, NY MSA",27845,57796,135816,76951,65.0870857357945
"Duluth, MN-WI MSA",26691,52439,146388,116318,54.939097307782
"Hagerstown-Martinsburg, MD-WV MSA",28710,576090,105708,185899,32.4963865307735
"Longview, TX MSA",19124,35511,59910,137930,28.4228081554927
"Crestview-Fort Walton Beach-Destin, FL MSA",27938,96214,102832,122785,45.2612352825639
"San Luis Obispo-Paso Robles, CA MSA",21448,41839,136808,130269,49.5687850503238
"Merced, CA MSA",32325,68063,85259,210611,23.4951576435445
"Laredo, TX MSA",46808,84900,150440,58481,74.6132926037879
"Waco, TX MSA",27716,91401,84607,206721,23.756750845321
"Santa Cruz-Watsonville, CA MSA",16246,40165,160632,39714,80.8572788574886
"Cedar Rapids, IA MSA",26868,3838451,138277,100469,57.7040564068063
"Bremerton-Silverdale-Port Orchard, WA MSA",8761,16553,120720,75547,60.9618890158541
"Erie, PA MSA",21214,674866,122057,148235,42.4367260896689
"Sioux Falls, SD MSA",42476,81930,124285,42495,78.0637400881938
"Norwich-New London, CT MSA",22554,91476,141499,98433,58.377614268053
"Kalamazoo-Portage, MI MSA",30305,2735379,161080,107306,58.6990141884341
"Amarillo, TX MSA",35784,1762178,79506,128898,38.304241878194
"College Station-Bryan, TX MSA",32627,63617,97339,180250,30.8247923293262
"Atlantic City-Hammonton, NJ MSA",31639,66936,132632,98420,57.4788701864187
"Lynchburg, VA MSA",15917,30825,68193,118070,35.0248531137103
"Charleston, WV MSA",22041,43414,117374,126142,46.3295633544294
"Tuscaloosa, AL MSA",30826,57755,71358,94097,45.4267138921404
"Yakima, WA MSA",31673,56965,99209,95411,52.0110550485275
"Fort Smith, AR-OK MSA",34317,9171896,76016,134870,35.1037662249929
"Fargo, ND-MN MSA",33042,1408052,124904,70365,65.5099189170944
"Binghamton, NY MSA",22482,2384299,120505,58182,68.6163029984182
"Appleton, WI MSA",30418,2923124,93039,141127,36.9446162780614
"Prescott Valley-Prescott, AZ MSA",19527,36986,85384,108430,42.8623359384841
"Lafayette-West Lafayette, IN MSA",25925,3203400,98549,141663,37.6995245010581
"Tyler, TX MSA",20663,39019,73246,140381,31.1466934582486
"Topeka, KS MSA",22829,1941788,99667,121836,42.8609521926395
"Macon-Bibb County, GA MSA",22386,44200,74586,125619,35.1622083516773
"Bellingham, WA MSA",9863,21064,121848,66482,64.2664298550549
"Champaign-Urbana, IL MSA",24535,2720119,110994,93702,53.584098139162
"Daphne-Fairhope-Foley, AL MSA",21921,59814,65553,101192,38.9987467509018
"Hilton Head Island-Bluffton-Beaufort, SC MSA",19540,47740,95322,66334,59.8869946733972
"Rochester, MN MSA",18941,40901,129409,49614,73.0153700232238
"Medford, OR MSA",11581,22070,91524,49400,65.5954759524775
"Burlington-South Burlington, VT MSA",9774,2868285,130834,86504,58.8009474523438
"Chico, CA MSA",12666,104802,82915,149802,31.2428740968212
"Charlottesville, VA MSA",10295,862122,62046,164711,21.8761816209691
"Las Cruces, NM MSA",25331,2299130,102997,126231,41.8168022619079
"Yuma, AZ MSA",37297,346040,89563,118718,41.119780717438
"Athens-Clarke County, GA MSA",24069,46587,81640,125177,36.7290656738323
"Barnstable Town, MA MSA",13933,460859,0,203006,0
"Lake Havasu City-Kingman, AZ MSA",23561,1356616,66921,158308,24.5610819445372
"Lake Charles, LA MSA",23806,48720,55096,120891,29.3144617637705
"Columbia, MO MSA",27297,7686942,101722,114751,44.2446667420945
"Houma-Thibodaux, LA MSA",21021,39789,60733,95390,38.5993017747729
"Springfield, IL MSA",20368,5569449,99248,113930,43.8067951320474
"Elkhart-Goshen, IN MSA",29532,309433,65960,132858,30.0414914623086
"Florence, SC MSA",26594,47863,74604,91790,45.0189647212689
"Gainesville, GA MSA",27955,56034,67550,111277,36.4863648868173
"Johnson City, TN MSA",23670,70325,77386,134391,32.5797730865039
"St. Cloud, MN MSA",28396,1984553,77976,118547,37.1534530259181
"Monroe, LA MSA",21473,45266,53185,135313,24.2619718666464
"Jacksonville, NC MSA",17821,31892,41261,84975,33.0169779327022
"Bend, OR MSA",10055,22515,105417,68190,59.9247177170724
"Racine, WI MSA",25328,1137689,76704,58539,59.2234085572682
"Saginaw, MI MSA",22514,41048,80619,98283,43.3428735978539
"Punta Gorda, FL MSA",13360,150887,96439,40424,71.3150725286684
"Terre Haute, IN MSA",19229,3012223,63455,84780,42.3454623832153
"Warner Robins, GA MSA",18612,35354,61495,86214,40.9674960993054
"Midland, TX MSA",17792,33487,51768,110529,28.9239311154162
"Billings, MT MSA",19655,63190,68132,56474,56.496359289033
"El Centro, CA MSA",28908,238707,92259,94724,46.9969431961753
"Dover, DE MSA",18215,682692,69359,58506,55.5497954824966
"Greenville, NC MSA",20472,60333,70576,100768,38.886188205155
"Redding, CA MSA",12615,36827,56228,61661,48.0465413356294
"Joplin, MO MSA",15680,31616,0,167507,0
"Bowling Green, KY MSA",20817,39872,58686,52278,55.8567861452608
"Jackson, TN MSA",13767,25388,39289,98849,25.8064077116224
"Kingston, NY MSA",13921,652436,103263,29873,78.5136838744014
"St. George, UT MSA",21514,58792,49086,56668,49.8779352308088
"Yuba City, CA MSA",16197,30120,60613,75153,44.2993342854144
"Panama City, FL MSA",19892,36867,56811,89338,37.7610790556681
"Muskegon, MI MSA",18406,1463492,74654,104029,38.5400408482804
"Iowa City, IA MSA",17198,2043200,96482,77506,53.8044689570263
"Abilene, TX MSA",19824,1223124,52645,130734,23.3666850513381
"Oshkosh-Neenah, WI MSA",21491,683753,66968,110826,33.9435894507844
"Bloomington, IL MSA",18558,2957174,80651,99081,41.775031951125
"East Stroudsburg, PA MSA",14814,27179,69690,56042,56.0497577937446
"Burlington, NC MSA",19005,34284,73469,103358,38.1416460286485
"Eau Claire, WI MSA",19691,746713,71760,106603,36.5555594853446
"Bloomington, IN MSA",17245,46990,90278,68658,55.9370696322927
"Hattiesburg, MS MSA",18175,893196,51260,57348,49.2811821979857
"Waterloo-Cedar Falls, IA MSA",20480,37165,78236,27272,76.8278675714473
"Pueblo, CO MSA",19537,2484531,49482,80410,37.9074888370824
"Blacksburg-Christiansburg, VA MSA",14346,51999,66580,78168,44.6713712335125
"Kahului-Wailuku-Lahaina, HI MSA",4858,3342247,82278,73352,50.897442371835
"Odessa, TX MSA",17512,34228,45592,132479,19.7221602670179
"Coeur d'Alene, ID MSA",19030,40094,52731,81663,38.5420834864203
"Auburn-Opelika, AL MSA",16301,32220,52967,95509,33.0547452628619
"Janesville-Beloit, WI MSA",18377,1621354,68792,102685,36.4672018160914
"Wausau-Weston, WI MSA",16422,33519,51769,55414,49.9508528816159
"State College, PA MSA",16910,34091,76160,71230,50.7414724360228
"Sebastian-Vero Beach, FL MSA",12870,27046,78809,65070,53.8346785611462
"Jackson, MI MSA",21037,855633,65942,72417,47.2726485900478
"Madera, CA MSA",16660,33838,55935,38630,61.9965814383709
"Chambersburg-Waynesboro, PA MSA",15452,1196217,50124,105077,28.1351885431125
"Grand Junction, CO MSA",16907,31221,43512,69778,38.5904571060139
"Elizabethtown-Fort Knox, KY MSA",13416,4282113,62275,99500,34.5964986903342
"Niles, MI MSA",15582,1033522,63273,98999,35.103677367167
"Hanford-Corcoran, CA MSA",23214,898923,40341,123067,18.7568697179304
"Decatur, AL MSA",17785,32686,45295,116724,22.5560241657735
"Bangor, ME MSA",6325,5257261,81054,75023,49.6124141262011
"Alexandria, LA MSA",14966,33784,44310,111733,23.3997904586386
"Idaho Falls, ID MSA",18066,42921,51466,108330,27.5025685102667
"Wichita Falls, TX MSA",17050,34679,48758,70895,40.4240003011198
"Jefferson City, MO MSA",17894,36056,49853,70749,41.1317868948094
"Monroe, MI MSA",15408,27910,51540,72503,40.5911993508312
"Santa Fe, NM MSA",10810,21152,87938,11855,88.979236398967
"Homosassa Springs, FL MSA",11446,37273,64507,32397,67.9842839120148
"Vineland-Bridgeton, NJ MSA",17209,322923,58940,90089,36.479125010457
"Dothan, AL MSA",15333,46959,40913,110851,21.8840962980472
"Texarkana, TX-AR MSA",11889,45521,24821,94317,16.866327851788
"Florence-Muscle Shoals, AL MSA",16039,865054,45748,111140,23.9384699518493
"Valdosta, GA MSA",15700,32684,37587,81073,29.9946755073187
"Albany, GA MSA",13356,28916,50007,82306,35.2986965791301
"Rocky Mount, NC MSA",17376,36429,56160,64420,46.4376381687138
"Dalton, GA MSA",22132,240109,43521,69375,39.3763225024619
"Sioux City, IA-NE-SD MSA",27347,49888,67698,19293,81.8404389389023
"Flagstaff, AZ MSA",17949,175104,68745,72725,46.6926094665559
"Morristown, TN MSA",17679,32474,44272,59174,43.9886944546324
"Logan, UT-ID MSA",17723,1336219,45600,47508,51.6372858451328
"Rapid City, SD MSA",16716,2181182,44170,94856,27.9674017629748
"Lebanon, PA MSA",16193,1270827,55499,55110,50.7874491763945
"Winchester, VA-WV MSA",10018,782219,43185,106828,23.3969565100113
"Sumter, SC MSA",10576,20172,32945,89547,22.9275845605997
"Morgantown, WV MSA",12348,25098,60814,69732,44.6634458274844
"Wheeling, WV-OH MSA",14003,1388914,53617,49102,53.0391300827865
"Napa, CA MSA",10033,68097,83553,0,100
"La Crosse-Onalaska, WI-MN MSA",15293,32432,68333,69135,47.5898811927445
"Sherman-Denison, TX MSA",11374,1174221,41313,100672,23.982146643131
"Carbondale-Marion, IL MSA",14206,1745038,49100,43491,54.7116515796007
"Harrisonburg, VA MSA",6869,359351,33898,62022,33.1605787949037
"Hammond, LA MSA",13166,23791,36719,74193,31.1057186023077
"Battle Creek, MI MSA",14544,28244,50968,71788,39.5852898385456
"Springfield, OH MSA",14246,35571,54436,42744,57.3712017393836
"Jonesboro, AR MSA",16949,949972,35459,103715,20.0182032894601
"The Villages, FL MSA",9472,19646,88476,25551,77.9708255200133
"Manhattan, KS MSA",12267,24100,41459,52936,44.1535963270444
"Johnstown, PA MSA",14818,14972522,54262,41765,57.9544009379809
"Albany-Lebanon, OR MSA",5653,1343872,52778,83318,34.8617047984169
"Mount Vernon-Anacortes, WA MSA",6022,11083,63856,46405,56.950033593123
"Bismarck, ND MSA",21528,39058,53728,82171,35.826200320662
"Lawton, OK MSA",14956,922607,44833,88416,29.1397649897778
"Sierra Vista-Douglas, AZ MSA",12180,22044,53561,11688,84.309170825205
"St. Joseph, MO-KS MSA",15024,1224488,25911,105871,13.0806018879009
"Glens Falls, NY MSA",6835,971844,70588,53643,55.1678448234348
"Pittsfield, MA MSA",6551,11775,55774,33702,62.4632378205176
"Cleveland, TN MSA",17413,31916,33530,66638,33.0218091400627
"New Bern, NC MSA",11486,23859,49044,30539,63.565509383265
"Farmington, NM MSA",15691,394076,62181,65261,46.3702633174653
"Ames, IA MSA",13404,24739,61980,63390,47.1634880166971
"Goldsboro, NC MSA",11460,289526,37472,55575,39.7612064602916
"Staunton, VA MSA",5984,126018,33456,97847,19.5500442296028
"Lawrence, KS MSA",9379,21040,57024,47270,54.0305732027175
"San Angelo, TX MSA",17061,30754,39010,59192,39.8428101327554
"Altoona, PA MSA",13518,7251454,45169,80916,31.814107487951
"Mansfield, OH MSA",11612,629226,39532,44521,47.9359807619685
"Wenatchee, WA MSA",10876,1032836,58824,23095,73.401242507598
"Missoula, MT MSA",9356,99168,62333,10481,86.829705166115
"Owensboro, KY MSA",12811,30698,46862,59138,42.8630560086062
"Brunswick, GA MSA",10859,24464,40068,73247,32.0238100229065
"Weirton-Steubenville, WV-OH MSA",10774,42402,45518,75428,33.7249921646984
"Beckley, WV MSA",10630,2500377,47193,73631,35.3082236341524
"Sheboygan, WI MSA",14815,29952,48708,71346,37.1165941367987
"Muncie, IN MSA",10988,1506499,43093,76935,31.6816540943692
"Anniston-Oxford, AL MSA",14725,30955,30357,53245,37.0074329066714
"California-Lexington Park, MD MSA",6053,383176,51566,47591,50.5623818408917
"Williamsport, PA MSA",11953,4632832,44862,75106,33.3006753280026
"Twin Falls, ID MSA",12414,501389,35395,61402,34.7006033711835
"Longview, WA MSA",6606,12598,46129,70211,35.8503231032292
"Michigan City-La Porte, IN MSA",12442,424060,47515,19579,73.5643472817573
"Kankakee, IL MSA",14580,760704,38171,56155,39.6257026891106
"Watertown-Fort Drum, NY MSA",6160,12078,46262,35988,55.9360343974967
"Lewiston-Auburn, ME MSA",8390,779318,54909,51928,49.430528045598
"Sebring-Avon Park, FL MSA",8745,21629,38436,67072,32.7653138632237
"Decatur, IL MSA",11002,20687,38793,41778,48.4550342945098
"Fond du Lac, WI MSA",13879,333002,35465,72994,28.1679449422418
"Bay City, MI MSA",11258,841316,47170,23227,69.0825652258428
"Gettysburg, PA MSA",9662,17597,38940,22866,65.3952989802206
"Lima, OH MSA",11922,21547,33467,61430,32.5735073868517
"Gadsden, AL MSA",14192,26068,28429,50995,36.0119899384825
"Ithaca, NY MSA",4356,14711,65942,24400,72.7733270125474
"Mankato, MN MSA",10942,675233,50047,56418,44.1715275784711
"Grand Forks, ND-MN MSA",14607,27237,46676,17420,76.0487103788812
"Victoria, TX MSA",12202,3211858,41205,60288,37.4316877595338
"Cheyenne, WY MSA",10251,21830,35116,55331,36.573035255201
"Hot Springs, AR MSA",10478,19256,29670,64092,28.1164035736535
"Rome, GA MSA",12147,984725,30739,37591,46.7945355832528
"Dubuque, IA MSA",13519,1223273,50064,50238,47.5919509524154
"Cumberland, MD-WV MSA",10026,19064,36858,24029,62.9876422294962
"Fairbanks, AK MSA",8000,4906333,35182,59296,33.8400064297945
"Cape Girardeau, MO-IL MSA",11230,27297,29869,73406,23.5937440880615
"Pocatello, ID MSA",9551,43919,34586,62245,31.8774860558659
"Corvallis, OR MSA",3275,246351,57413,31622,63.4563414519967
"Ocean City, NJ MSA",9274,191881,52085,17009,76.7360640307097
"Parkersburg-Vienna, WV MSA",14680,842049,61080,0,100
"Pine Bluff, AR MSA",13381,25053,21963,26574,51.1504184525822
"Grants Pass, OR MSA",3638,10206,31706,46384,37.6281972721711
"Columbus, IN MSA",8196,491417,38395,20719,66.5119930744138
"Elmira, NY MSA",7779,2744898,34896,53124,35.8616019350417
"Bloomsburg-Berwick, PA MSA",7906,16214,41025,18750,70.0679312199535
"Midland, MI MSA",7575,14869,40054,46590,43.3147338302566
"Kokomo, IN MSA",10365,573810,29272,49233,34.6394051165601
"Great Falls, MT MSA",9467,24199,28734,54302,30.6327639170336
"Hinesville, GA MSA",5072,9630,14935,63284,12.8193757613485
"Casper, WY MSA",8220,16571,25587,47616,32.1424503338033
"Danville, IL MSA",10043,40533,23680,55685,24.9266663290688
